Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
AAPL,63,0.0,0.0,NEUTRAL,1,1,0,0,8.7299,7.704,0.0,0.0,,,2026-06-03
AAPL,126,0.0,0.0,NEUTRAL,16,0,0,0,216.36,0.0,0.0,0.0,,,2026-06-03
AAPL,252,14.8182,0.2593,BULLISH,1,4,1,0,14.8182,42.3394,14.8182,0.0,"SLV(t=300,q=0.95) & SI=F(t=252,q=0.95) CPE=0.980 lift=3.27 n=102",,2026-06-03
AAPL,300,14.0562,0.597,BULLISH,1,1,1,0,14.0562,9.4899,14.0562,0.0,"SLV(t=252,q=0.95) & SI=F(t=252,q=0.95) CPE=0.926 lift=3.09 n=136",,2026-06-03
ADA-USD,63,0.0,0.0,NEUTRAL,1,2,0,0,11.5624,13.7379,0.0,0.0,,,2026-06-03
ADA-USD,126,-20.2432,-0.5276,BEARISH,1,3,0,2,9.3079,29.0623,0.0,20.2432,,"IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.918 lift=2.30 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.918 lift=2.30 n=122",2026-06-03
ADA-USD,252,19.0144,0.0946,BULLISH,9,5,1,0,154.671,46.3075,19.0144,0.0,"ICLN(t=126,q=0.95) & AAPL(t=252,q=0.7) CPE=1.000 lift=4.00 n=116",,2026-06-03
ADA-USD,300,0.0,0.0,NEUTRAL,6,5,0,0,57.922,46.1699,0.0,0.0,,,2026-06-03
AGG,63,0.0,0.0,NEUTRAL,1,0,0,0,9.8024,0.0,0.0,0.0,,,2026-06-03
AGG,126,0.0,0.0,NEUTRAL,1,0,0,0,8.8625,0.0,0.0,0.0,,,2026-06-03
AGG,252,35.54,0.4294,BULLISH,6,1,3,0,67.3156,15.4489,35.54,0.0,"SLV(t=252,q=0.95) & SI=F(t=252,q=0.95) CPE=0.839 lift=3.36 n=137 | SLV(t=252,q=0.95) & SI=F(t=252,q=0.95) CPE=0.861 lift=2.87 n=137 | SLV(t=252,q=0.95) & SI=F(t=300,q=0.95) CPE=1.000 lift=2.00 n=116",,2026-06-03
AGG,300,0.0,0.0,NEUTRAL,5,2,0,0,55.6193,20.5869,0.0,0.0,,,2026-06-03
AMZN,63,0.0,0.0,NEUTRAL,1,0,0,0,8.2153,0.0,0.0,0.0,,,2026-06-03
AMZN,126,0.0,0.0,NEUTRAL,1,0,0,0,8.6364,0.0,0.0,0.0,,,2026-06-03
AMZN,252,0.0,0.0,NEUTRAL,3,0,0,0,36.0737,0.0,0.0,0.0,,,2026-06-03
AMZN,300,0.0,0.0,NEUTRAL,0,6,0,0,0.0,57.619,0.0,0.0,,,2026-06-03
ARKK,63,0.0,0.0,NEUTRAL,0,2,0,0,0.0,16.8121,0.0,0.0,,,2026-06-03
ARKK,126,0.0,0.0,NEUTRAL,3,0,0,0,28.9559,0.0,0.0,0.0,,,2026-06-03
ARKK,252,0.0,0.0,NEUTRAL,2,10,0,0,20.7233,108.3186,0.0,0.0,,,2026-06-03
ARKK,300,0.0,0.0,NEUTRAL,8,4,0,0,77.3715,43.8523,0.0,0.0,,,2026-06-03
ATOM-USD,63,0.0,0.0,NEUTRAL,2,1,0,0,17.7592,8.1892,0.0,0.0,,,2026-06-03
ATOM-USD,126,0.0,0.0,NEUTRAL,4,0,0,0,40.8879,0.0,0.0,0.0,,,2026-06-03
ATOM-USD,252,0.0,0.0,NEUTRAL,9,1,0,0,130.767,8.5391,0.0,0.0,,,2026-06-03
ATOM-USD,300,-15.0921,-0.1077,BEARISH,10,2,0,2,124.9909,15.0921,0.0,15.0921,,"IBIT(t=5,q=0.5) & FBTC(t=5,q=0.5) CPE=0.804 lift=2.01 n=107 | IBIT(t=5,q=0.5) & FBTC(t=5,q=0.5) & BITB(t=5,q=0.5) CPE=0.804 lift=2.01 n=107",2026-06-03
AUDJPY=X,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.4491,0.0,0.0,,,2026-06-03
AUDJPY=X,126,0.0,0.0,NEUTRAL,4,3,0,0,46.798,26.6274,0.0,0.0,,,2026-06-03
AUDJPY=X,252,0.0,0.0,NEUTRAL,0,3,0,0,0.0,30.0623,0.0,0.0,,,2026-06-03
AUDJPY=X,300,0.0,0.0,NEUTRAL,12,6,0,0,143.7107,61.9925,0.0,0.0,,,2026-06-03
AUDUSD=X,63,0.0,0.0,NEUTRAL,1,0,0,0,9.1075,0.0,0.0,0.0,,,2026-06-03
AUDUSD=X,126,0.0,0.0,NEUTRAL,2,0,0,0,18.4917,0.0,0.0,0.0,,,2026-06-03
AUDUSD=X,252,0.0,0.0,NEUTRAL,7,1,0,0,81.9119,9.2302,0.0,0.0,,,2026-06-03
AUDUSD=X,300,0.0,0.0,NEUTRAL,8,0,0,0,100.5524,0.0,0.0,0.0,,,2026-06-03
AVAX-USD,21,0.0,0.0,NEUTRAL,1,0,0,0,6.3848,0.0,0.0,0.0,,,2026-06-03
AVAX-USD,63,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.6801,0.0,0.0,,,2026-06-03
AVAX-USD,126,-35.0983,-0.4547,BEARISH,4,4,0,4,42.0973,35.0983,0.0,35.0983,,"FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.967 lift=1.93 n=122 | FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=0.967 lift=1.93 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.844 lift=2.11 n=122",2026-06-03
AVAX-USD,252,0.0,0.0,NEUTRAL,21,1,0,0,288.607,7.966,0.0,0.0,,,2026-06-03
AVAX-USD,300,0.0,0.0,NEUTRAL,13,5,0,0,152.0358,43.6246,0.0,0.0,,,2026-06-03
BCH-USD,126,0.0,0.0,NEUTRAL,2,0,0,0,17.7583,0.0,0.0,0.0,,,2026-06-03
BCH-USD,252,0.0,0.0,NEUTRAL,4,0,0,0,37.9816,0.0,0.0,0.0,,,2026-06-03
BCH-USD,300,0.0,0.0,NEUTRAL,0,2,0,0,0.0,15.4244,0.0,0.0,,,2026-06-03
BITB,63,0.0,0.0,NEUTRAL,1,2,0,0,8.8683,15.8282,0.0,0.0,,,2026-06-03
BITB,126,-32.9835,-1.0,BEARISH,0,3,0,3,0.0,32.9835,0.0,32.9835,,"DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=0.891 lift=2.97 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.50 n=101 | DOGE-USD(t=252,q=0.6) & BTC-USD(t=252,q=0.6) CPE=1.000 lift=2.00 n=101",2026-06-03
BITB,252,0.0,0.0,NEUTRAL,7,13,0,0,62.4889,148.9479,0.0,0.0,,,2026-06-03
BITB,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,54.6877,0.0,0.0,,,2026-06-03
BNB-USD,63,-14.5071,-1.0,BEARISH,0,2,0,2,0.0,14.5071,0.0,14.5071,,"BITB(t=252,q=0.6) & FBTC(t=252,q=0.6) CPE=0.869 lift=1.74 n=122 | BITB(t=252,q=0.6) & FBTC(t=252,q=0.6) & IBIT(t=252,q=0.6) CPE=0.869 lift=1.74 n=122",2026-06-03
BNB-USD,126,0.0,0.0,NEUTRAL,5,1,0,0,53.154,8.5017,0.0,0.0,,,2026-06-03
BNB-USD,252,0.0,0.0,NEUTRAL,10,5,0,0,173.2839,47.5305,0.0,0.0,,,2026-06-03
BNB-USD,300,0.0,0.0,NEUTRAL,10,5,0,0,178.4803,58.1832,0.0,0.0,,,2026-06-03
BND,63,0.0,0.0,NEUTRAL,1,0,0,0,8.7836,0.0,0.0,0.0,,,2026-06-03
BND,126,0.0,0.0,NEUTRAL,1,0,0,0,9.0484,0.0,0.0,0.0,,,2026-06-03
BND,252,0.0,0.0,NEUTRAL,10,0,0,0,118.2292,0.0,0.0,0.0,,,2026-06-03
BND,300,0.0,0.0,NEUTRAL,5,1,0,0,50.2009,9.2499,0.0,0.0,,,2026-06-03
BNO,126,12.0429,0.1601,BULLISH,5,2,1,0,49.6082,25.5897,12.0429,0.0,"EWY(t=252,q=0.9) & EEM(t=252,q=0.75) CPE=0.993 lift=2.48 n=133",,2026-06-03
BNO,252,0.0,0.0,NEUTRAL,20,4,0,0,292.3889,59.1852,0.0,0.0,,,2026-06-03
BNO,300,0.0,0.0,NEUTRAL,22,1,0,0,321.4085,9.3643,0.0,0.0,,,2026-06-03
BRK-B,21,0.0,0.0,NEUTRAL,0,2,0,0,0.0,11.8739,0.0,0.0,,,2026-06-03
BRK-B,126,0.0,0.0,NEUTRAL,1,0,0,0,9.8894,0.0,0.0,0.0,,,2026-06-03
BRK-B,252,0.0,0.0,NEUTRAL,6,1,0,0,82.6313,8.666,0.0,0.0,,,2026-06-03
BRK-B,300,0.0,0.0,NEUTRAL,15,2,0,0,210.683,17.7155,0.0,0.0,,,2026-06-03
BRLUSD=X,63,0.0,0.0,NEUTRAL,1,0,0,0,8.9619,0.0,0.0,0.0,,,2026-06-03
BRLUSD=X,126,0.0,0.0,NEUTRAL,2,0,0,0,26.1891,0.0,0.0,0.0,,,2026-06-03
BRLUSD=X,252,0.0,0.0,NEUTRAL,4,0,0,0,47.9722,0.0,0.0,0.0,,,2026-06-03
BTC-USD,63,0.0,0.0,NEUTRAL,1,2,0,0,8.6122,16.5777,0.0,0.0,,,2026-06-03
BTC-USD,126,-46.5364,-0.8309,BEARISH,0,5,0,4,0.0,56.0088,0.0,46.5364,,"IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.893 lift=2.98 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.893 lift=2.98 n=122 | BITB(t=252,q=0.5) & IBIT(t=252,q=0.5) CPE=0.934 lift=2.34 n=122",2026-06-03
BTC-USD,252,0.0,0.0,NEUTRAL,3,2,0,0,30.9705,18.2575,0.0,0.0,,,2026-06-03
BTC-USD,300,0.0,0.0,NEUTRAL,4,4,0,0,58.0883,38.3132,0.0,0.0,,,2026-06-03
