ticker,asset_class,full_name,composite_score,trend_tstat,ann_drift_pct,hurst,adf_p,peak_period_days,n_cycles_insample,cycle_p,acf_at_peak,halflife_days,n_obs
^VIX,volatility,CBOE VIX,86.8021343067758,-1.6796795410892837,-0.056596218866116266,0.2267300650709083,1.0429811549294162e-08,1518.4686066494312,6.057418612226563,0.008,-0.12178153821938914,34.22452213888776,9198
^SKEW,volatility,CBOE Skew,79.99999992493439,96.93360452427663,0.6125792689365503,0.14399249892938232,3.7532809685189834e-10,957.9826074028235,9.523137403019527,0.0,0.13169027911076348,8.636573201844362,9123
^OVX,volatility,Crude Oil VIX,67.4002091215834,7.272187448975813,0.6599707606258041,0.2078806501851452,0.00010057067536972178,879.9121841835993,5.480092316796307,0.046,-0.07858176597861326,50.14899062282349,4822
VWO,equities,Vanguard Emerging Markets ETF,66.84111503693643,117.57036147029882,4.192560974249917,0.42054575164913177,0.003542194079923112,903.7562179435658,5.938548353462213,0.0,0.07447949926987499,128.56963277388297,5367
SDS,equities,ProShares UltraShort S&P500 -2x,63.511031359188486,-544.2211642672291,-31.175234232778642,0.41656091059580813,0.01692453967212159,902.8801146578759,5.569953217881662,0.008,-0.11614793240114554,120.43090928021418,5029
VT,equities,Vanguard Total World ETF,63.14557193994567,335.6166536431523,9.321925644596208,0.4142974213360379,0.00020013449620446622,907.4,5.0,0.004,0.05900468977603752,70.62000717184877,4537
VEA,equities,Vanguard Developed Markets ETF,61.372566221183035,151.8248178614134,5.622445152282767,0.39231698250750946,0.016316499674279845,897.3797884171659,5.3143608331225645,0.014,0.07165687533084096,134.50964522925986,4769
^VVIX,volatility,VIX of VIX,54.99999993598264,30.831547513616247,1.181035504482853,0.11461148794304675,3.200867623030604e-10,361.7597114311797,13.547666711173708,0.526,0.08547811773661852,11.49622641258182,4901
UNI-USD,crypto,Uniswap,54.997140209154196,-25.12225893717969,-22.678629868134774,0.24090333552492252,1.4298954229018153e-05,270.24879648811486,7.422789762870307,0.666,-0.15598620562935012,8.79059609828681,2006
^EVZ,volatility,EuroCurrency VIX,54.79314855575087,-51.46172154625927,-4.490873703597376,0.2467046506327832,0.0010342572212456362,576.6536061481214,7.2383142245153165,0.1,-0.11344607788044914,24.956301960549318,4174
^VXN,volatility,Nasdaq-100 VIX,54.609537441166076,-26.545098424566778,-1.7016523132224153,0.25565604465014313,6.696457745526886e-05,867.4741883296309,7.381199447938996,0.978,-0.134177128625739,53.92884050953896,6403
SIZE,equities,iShares Size Factor ETF,52.23865741145058,306.3656338631439,10.400124891987447,0.2897123769980908,0.0005692539433835086,586.4181379958319,5.673426151807821,0.582,-0.3069753233784922,63.24461828550563,3327
TQQQ,equities,ProShares UltraQQQ 3x,51.77036320676637,293.24256800325946,34.06140612910193,0.3079774558596797,0.03682236534627496,825.4,5.0,0.068,0.09577091605241096,112.27207176754288,4127
^GVZ,volatility,Gold VIX,48.616631804552696,-21.555478211262837,-1.8554000388297804,0.22691718564619423,0.0008727885088551339,715.4362706057644,6.365346833959228,0.926,-0.05106662966036384,43.654031210259795,4554
NG=F,commodities,Natural Gas Futures,48.05800712994769,-48.59862573766533,-3.0978688466363984,0.3367698980895511,0.005786664987077867,1121.8219942416788,5.7887971829164995,0.33,0.10538929024986293,135.37779483052356,6494
