signal_date,Y,X,tau_past,tau_future,q_X,q_Y,direction,CPE,uncond_prob,lift,n_condition,outcome_hit,actual_ret_log,status
2025-01-02,GC=F,UVXY,63,300,0.5,0.5,bearish,0.8072,0.5,1.614,1369,0,0.4043,RESOLVED
2025-01-02,GC=F,IBIT,10,126,0.5,0.5,bullish,0.9143,0.5,1.829,140,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,10,126,0.5,0.5,bullish,0.9143,0.5,1.829,140,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,10,126,0.5,0.5,bullish,0.9143,0.5,1.829,140,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,10,126,0.6,0.5,bullish,0.9286,0.5,1.857,112,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,10,126,0.6,0.5,bullish,0.9286,0.5,1.857,112,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,10,126,0.6,0.5,bullish,0.9286,0.5,1.857,112,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,10,126,0.6,0.6,bullish,0.8036,0.4,2.009,112,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,10,126,0.6,0.6,bullish,0.8036,0.4,2.009,112,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,10,126,0.6,0.6,bullish,0.8036,0.4,2.009,112,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.5,0.5,bullish,0.9422,0.5,1.884,225,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.5,0.5,bullish,0.9422,0.5,1.884,225,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.5,0.5,bullish,0.9422,0.5,1.884,225,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.6,0.5,bullish,0.9607,0.5,1.921,178,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.6,0.5,bullish,0.9607,0.5,1.921,178,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.6,0.5,bullish,0.9607,0.5,1.921,178,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.7,0.5,bullish,0.9496,0.5,1.899,139,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.7,0.5,bullish,0.9496,0.5,1.899,139,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.7,0.5,bullish,0.9496,0.5,1.899,139,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.5,0.6,bullish,0.84,0.4,2.1,225,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.5,0.6,bullish,0.84,0.4,2.1,225,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.5,0.6,bullish,0.84,0.4,2.1,225,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.6,0.6,bullish,0.8427,0.4,2.107,178,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.6,0.6,bullish,0.8427,0.4,2.107,178,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.6,0.6,bullish,0.8427,0.4,2.107,178,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,63,126,0.7,0.6,bullish,0.8273,0.4,2.068,139,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,63,126,0.7,0.6,bullish,0.8273,0.4,2.068,139,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,63,126,0.7,0.6,bullish,0.8273,0.4,2.068,139,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,126,126,0.5,0.5,bullish,0.9916,0.5,1.983,238,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,126,126,0.5,0.5,bullish,0.9916,0.5,1.983,237,1,0.21498,RESOLVED
2025-01-02,GC=F,BITB,126,126,0.5,0.5,bullish,0.9916,0.5,1.983,238,1,0.21498,RESOLVED
2025-01-02,GC=F,IBIT,126,126,0.6,0.5,bullish,0.9948,0.5,1.99,191,1,0.21498,RESOLVED
2025-01-02,GC=F,FBTC,126,126,0.6,0.5,bullish,0.9948,0.5,1.99,191,1,0.21498,RESOLVED
