signal_date,gcf_price,n_bull_firing,n_bear_firing,sum_bull_wt,sum_bear_wt,n_joint_bull,n_joint_bear,net_score,signal,gcf_ret_21d,gcf_positive_21d,status_21d,gcf_ret_63d,gcf_positive_63d,status_63d,gcf_ret_126d,gcf_positive_126d,status_126d,gcf_ret_252d,gcf_positive_252d,status_252d
2025-01-01,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-02,2658.9,862,1,11683.624,9.411,36,0,0.9984,BULLISH,3.844,1,RESOLVED,9.251,1,RESOLVED,21.498,1,RESOLVED,31.322,1,RESOLVED
2025-01-03,2645.0,985,1,13110.091,9.411,53,0,0.9986,BULLISH,4.881,1,RESOLVED,9.366,1,RESOLVED,23.192,1,RESOLVED,32.189,1,RESOLVED
2025-01-04,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-05,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-06,2638.4,535,1,6860.838,9.411,10,0,0.9973,BULLISH,3.687,1,RESOLVED,9.143,1,RESOLVED,19.921,1,RESOLVED,33.334,1,RESOLVED
2025-01-07,2656.7,823,0,11285.382,0.0,36,0,1.0,BULLISH,4.061,1,RESOLVED,9.206,1,RESOLVED,19.858,1,RESOLVED,32.824,1,RESOLVED
2025-01-08,2664.5,775,0,10798.298,0.0,36,0,1.0,BULLISH,3.851,1,RESOLVED,9.809,1,RESOLVED,17.73,1,RESOLVED,32.339,1,RESOLVED
2025-01-09,2683.8,0,0,0.0,0.0,0,0,0.0,NEUTRAL,5.057,1,RESOLVED,10.613,1,RESOLVED,18.236,1,RESOLVED,30.577,1,RESOLVED
2025-01-10,2708.5,775,1,10798.298,8.498,36,0,0.9984,BULLISH,3.768,1,RESOLVED,10.038,1,RESOLVED,16.111,1,RESOLVED,30.421,1,RESOLVED
2025-01-11,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-12,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-13,2673.5,650,2,9132.198,15.068,26,0,0.9967,BULLISH,5.827,1,RESOLVED,11.522,1,RESOLVED,18.875,1,RESOLVED,33.588,1,RESOLVED
2025-01-14,2677.5,892,1,12142.18,8.498,55,0,0.9986,BULLISH,6.359,1,RESOLVED,12.536,1,RESOLVED,20.305,1,RESOLVED,34.5,1,RESOLVED
2025-01-15,2712.5,952,23,12743.35,185.949,55,0,0.9712,BULLISH,5.7,1,RESOLVED,11.264,1,RESOLVED,19.887,1,RESOLVED,31.91,1,RESOLVED
2025-01-16,2746.4,839,0,11625.555,0.0,53,0,1.0,BULLISH,3.913,1,RESOLVED,10.157,1,RESOLVED,18.13,1,RESOLVED,30.797,1,RESOLVED
2025-01-17,2744.3,1105,1,14537.447,8.498,55,0,0.9988,BULLISH,4.384,1,RESOLVED,9.513,1,RESOLVED,20.349,1,RESOLVED,31.895,1,RESOLVED
2025-01-18,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-19,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-20,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-21,2755.0,985,1,13130.141,8.498,36,0,0.9987,BULLISH,5.559,1,RESOLVED,9.306,1,RESOLVED,18.023,1,RESOLVED,33.226,1,RESOLVED
2025-01-22,2767.6,715,4,10139.549,34.489,36,0,0.9932,BULLISH,4.983,1,RESOLVED,8.757,1,RESOLVED,17.4,1,RESOLVED,33.463,1,RESOLVED
2025-01-23,2763.1,748,27,10494.552,231.511,36,0,0.9568,BULLISH,5.725,1,RESOLVED,10.213,1,RESOLVED,18.274,1,RESOLVED,32.904,1,RESOLVED
2025-01-24,2777.3,883,26,12072.046,224.319,53,0,0.9635,BULLISH,3.756,1,RESOLVED,10.556,1,RESOLVED,16.907,1,RESOLVED,33.456,1,RESOLVED
2025-01-25,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-26,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-01-27,2737.5,424,7,5848.766,53.504,26,0,0.9819,BULLISH,,,PENDING,13.168,1,RESOLVED,20.805,1,RESOLVED,36.629,1,RESOLVED
2025-01-28,2766.8,517,12,7120.405,98.191,20,0,0.9728,BULLISH,5.786,1,RESOLVED,11.979,1,RESOLVED,19.133,1,RESOLVED,36.274,1,RESOLVED
2025-01-29,2769.1,967,9,12639.239,78.487,45,0,0.9877,BULLISH,5.286,1,RESOLVED,12.567,1,RESOLVED,19.743,1,RESOLVED,37.854,1,RESOLVED
2025-01-30,2823.0,719,9,10224.937,78.487,53,0,0.9848,BULLISH,4.061,1,RESOLVED,9.263,1,RESOLVED,17.137,1,RESOLVED,33.498,1,RESOLVED
2025-01-31,2812.5,349,3,4897.789,25.992,0,0,0.9894,BULLISH,4.352,1,RESOLVED,6.853,1,RESOLVED,16.67,1,RESOLVED,34.618,1,RESOLVED
2025-02-01,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-02,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-03,2833.9,471,3,6416.606,25.992,26,0,0.9919,BULLISH,3.944,1,RESOLVED,4.059,1,RESOLVED,16.195,1,RESOLVED,37.143,1,RESOLVED
2025-02-04,2853.3,361,4,5126.838,32.905,26,0,0.9872,BULLISH,1.779,1,RESOLVED,3.955,1,RESOLVED,15.176,1,RESOLVED,37.191,1,RESOLVED
2025-02-05,2871.6,361,1,5126.838,6.913,26,0,0.9973,BULLISH,1.562,1,RESOLVED,6.24,1,RESOLVED,14.549,1,RESOLVED,37.47,1,RESOLVED
2025-02-06,2856.0,301,4,4309.56,32.905,20,0,0.9848,BULLISH,0.948,1,RESOLVED,9.963,1,RESOLVED,16.872,1,RESOLVED,40.458,1,RESOLVED
2025-02-07,2867.3,196,4,2808.872,32.905,0,0,0.9768,BULLISH,-1.069,0,RESOLVED,11.669,1,RESOLVED,17.954,1,RESOLVED,37.931,1,RESOLVED
2025-02-08,,0,1,0.0,6.913,0,0,-1.0,BEARISH,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-09,,0,1,0.0,6.913,0,0,-1.0,BEARISH,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-10,2914.3,211,0,2956.752,0.0,0,0,1.0,BULLISH,-0.83,0,RESOLVED,9.502,1,RESOLVED,15.309,1,RESOLVED,39.741,1,RESOLVED
2025-02-11,2912.5,196,0,2808.872,0.0,0,0,1.0,BULLISH,-0.1,0,RESOLVED,9.997,1,RESOLVED,15.081,1,RESOLVED,33.897,1,RESOLVED
2025-02-12,2909.0,502,0,6573.56,0.0,39,0,1.0,BULLISH,0.216,1,RESOLVED,13.414,1,RESOLVED,15.296,1,RESOLVED,32.952,1,RESOLVED
2025-02-13,2925.9,361,0,5126.838,0.0,26,0,1.0,BULLISH,-0.318,0,RESOLVED,12.295,1,RESOLVED,,,PENDING,34.359,1,RESOLVED
2025-02-14,2883.6,331,0,4386.366,0.0,17,0,1.0,BULLISH,0.729,1,RESOLVED,,,PENDING,15.531,1,RESOLVED,35.643,1,RESOLVED
2025-02-15,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-16,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-17,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-18,2931.6,97,0,1391.521,0.0,0,0,1.0,BULLISH,-0.64,0,RESOLVED,14.846,1,RESOLVED,12.363,1,RESOLVED,30.226,1,RESOLVED
2025-02-19,2919.4,268,2,3348.042,16.126,19,0,0.9904,BULLISH,0.673,1,RESOLVED,11.534,1,RESOLVED,13.072,1,RESOLVED,31.083,1,RESOLVED
2025-02-20,2940.0,565,7,7602.32,64.0,19,0,0.9833,BULLISH,1.496,1,RESOLVED,12.516,1,RESOLVED,12.561,1,RESOLVED,30.821,1,RESOLVED
2025-02-21,2937.6,193,0,2801.749,0.0,0,0,1.0,BULLISH,1.918,1,RESOLVED,11.098,1,RESOLVED,10.833,1,RESOLVED,30.424,1,RESOLVED
2025-02-22,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-23,,0,0,0.0,0.0,0,0,0.0,NEUTRAL,,,PENDING,,,PENDING,,,PENDING,,,PENDING
2025-02-24,2947.9,163,2,2363.719,15.09,3,0,0.9873,BULLISH,1.752,1,RESOLVED,12.263,1,RESOLVED,11.113,1,RESOLVED,30.528,1,RESOLVED
2025-02-25,2904.5,103,1,1446.712,6.716,0,0,0.9908,BULLISH,4.398,1,RESOLVED,13.334,1,RESOLVED,13.872,1,RESOLVED,30.687,1,RESOLVED
2025-02-26,2916.8,102,2,1437.238,14.925,0,0,0.9794,BULLISH,4.002,1,RESOLVED,12.495,1,RESOLVED,13.788,1,RESOLVED,31.087,1,RESOLVED
