signal_date,equities_tilt,equities_price,gold_tilt,gold_price,bonds_tilt,bonds_price,crypto_tilt,crypto_price,fx_tilt,fx_price,tilt_pnl_21d,neutral_pnl_21d,tilt_beat_21d,status_21d,tilt_pnl_63d,neutral_pnl_63d,tilt_beat_63d,status_63d,tilt_pnl_126d,neutral_pnl_126d,tilt_beat_126d,status_126d
2025-01-06,NEUTRAL,586.847,TILT UP,2638.3999,NEUTRAL,81.653,NEUTRAL,58.17,NEUTRAL,28.4194,1.412,1.14,1,RESOLVED,-3.628,-5.156,1,RESOLVED,6.429,4.815,1,RESOLVED
2025-01-13,NEUTRAL,573.0768,TILT UP,2673.5,NEUTRAL,80.2717,NEUTRAL,53.22,NEUTRAL,28.8642,4.661,4.522,1,RESOLVED,1.323,0.103,1,RESOLVED,9.642,8.538,1,RESOLVED
2025-01-20,NEUTRAL,,NEUTRAL,,TILT DOWN,,NEUTRAL,,NEUTRAL,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-01-27,NEUTRAL,590.7997,NEUTRAL,2737.5,NEUTRAL,82.9214,NEUTRAL,57.67,NEUTRAL,28.2453,0.0,0.0,0,RESOLVED,-2.984,-2.984,0,RESOLVED,5.826,5.826,0,RESOLVED
2025-02-03,NEUTRAL,589.2226,NEUTRAL,2833.8999,NEUTRAL,83.1324,NEUTRAL,57.58,NEUTRAL,28.6611,-0.637,-0.637,0,RESOLVED,-10.494,-10.494,0,RESOLVED,5.749,5.749,0,RESOLVED
2025-02-10,NEUTRAL,596.2013,TILT UP,2914.3,NEUTRAL,83.9245,NEUTRAL,55.38,NEUTRAL,28.5451,-3.8,-4.156,1,RESOLVED,-3.218,-4.74,1,RESOLVED,7.068,6.083,1,RESOLVED
2025-02-17,TILT DOWN,,NEUTRAL,,UNDERWEIGHT,,NEUTRAL,,NEUTRAL,,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED,0.0,0.0,0,RESOLVED
2025-02-24,NEUTRAL,588.6706,TILT UP,2947.8999,NEUTRAL,84.7449,NEUTRAL,53.41,NEUTRAL,28.139,-3.191,-3.782,1,RESOLVED,1.887,0.646,1,RESOLVED,7.342,6.891,1,RESOLVED
2025-03-03,TILT UP,575.4227,TILT UP,2890.2,NEUTRAL,87.5657,NEUTRAL,48.9,NEUTRAL,28.1487,1.082,1.036,1,RESOLVED,4.365,4.26,1,RESOLVED,10.535,10.594,0,RESOLVED
2025-03-10,TILT UP,552.5644,NEUTRAL,2891.0,NEUTRAL,86.1279,NEUTRAL,44.91,NEUTRAL,27.4718,2.937,3.312,0,RESOLVED,9.302,9.971,0,RESOLVED,16.314,16.955,0,RESOLVED
2025-03-17,TILT UP,559.0405,NEUTRAL,3000.0,NEUTRAL,85.7211,NEUTRAL,48.06,NEUTRAL,27.3461,-6.698,-6.075,0,RESOLVED,8.044,8.435,0,RESOLVED,13.681,14.046,0,RESOLVED
2025-03-24,TILT UP,567.5736,NEUTRAL,3013.1001,NEUTRAL,84.917,NEUTRAL,50.18,NEUTRAL,27.6071,-2.162,-1.62,0,RESOLVED,0.0,0.0,0,RESOLVED,12.148,12.341,0,RESOLVED
2025-03-31,TILT UP,553.0501,NEUTRAL,3122.8,NEUTRAL,86.1089,NEUTRAL,46.81,NEUTRAL,27.5975,-0.658,0.372,0,RESOLVED,8.459,8.81,0,RESOLVED,13.301,13.423,0,RESOLVED
2025-04-07,TILT UP,498.6635,UNDERWEIGHT,2951.3,NEUTRAL,85.4881,NEUTRAL,44.27,TILT DOWN,27.4428,11.352,10.503,1,RESOLVED,20.169,16.243,1,RESOLVED,26.703,20.704,1,RESOLVED
