signal_date,Y,direction,tau_future,q_Y,n_predictors,predictors,joint_CPE,uncond_prob,lift,n_joint,outcome_hit,actual_ret_log,status
2025-01-02,GC=F,bullish,126,0.5,2,IBIT|BITB,1.0,0.5,2.0,119,1,0.21498,RESOLVED
2025-01-02,GC=F,bullish,126,0.6,2,IBIT|BITB,1.0,0.4,2.5,119,1,0.21498,RESOLVED
2025-01-02,GC=F,bullish,300,0.7,2,BITB|IBIT,1.0,0.3,3.333,107,1,0.4043,RESOLVED
2025-01-02,GLD,bullish,252,0.6,2,FBTC|BITB,1.0,0.4,2.5,100,1,0.31044,RESOLVED
2025-01-02,IAU,bullish,252,0.6,2,BITB|IBIT,1.0,0.4,2.5,100,1,0.31146,RESOLVED
2025-01-02,GLD,bullish,252,0.75,2,IBIT|FBTC,0.99,0.25,3.96,100,1,0.31044,RESOLVED
2025-01-02,IAU,bullish,252,0.75,2,IBIT|FBTC,0.99,0.25,3.96,100,1,0.31146,RESOLVED
2025-01-02,GC=F,bullish,126,0.7,2,FBTC|IBIT,0.9748,0.3,3.249,119,1,0.21498,RESOLVED
2025-01-02,GC=F,bullish,300,0.75,2,FBTC|BITB,0.972,0.25,3.888,107,1,0.4043,RESOLVED
2025-01-02,GLD,bullish,300,0.7,2,BITB|FBTC,0.9717,0.3,3.239,106,1,0.39143,RESOLVED
2025-01-02,GC=F,bullish,252,0.8,2,FBTC|BITB,0.97,0.2,4.85,100,1,0.31322,RESOLVED
2025-01-02,IAU,bullish,300,0.75,2,BITB|FBTC,0.9434,0.25,3.774,106,1,0.39243,RESOLVED
2025-01-02,GC=F,bullish,126,0.75,2,BITB|FBTC,0.9371,0.25,3.748,143,1,0.21498,RESOLVED
2025-01-02,GLD,bullish,300,0.75,2,BITB|FBTC,0.934,0.25,3.736,106,1,0.39143,RESOLVED
2025-01-02,GC=F,bullish,300,0.8,2,IBIT|FBTC,0.9159,0.2,4.579,107,1,0.4043,RESOLVED
2025-01-02,GC=F,bullish,126,0.8,2,BITB|FBTC,0.8951,0.2,4.476,143,1,0.21498,RESOLVED
2025-01-02,GLD,bullish,300,0.8,2,IBIT|BITB,0.8774,0.2,4.387,106,1,0.39143,RESOLVED
2025-01-02,IAU,bullish,300,0.8,2,IBIT|FBTC,0.8774,0.2,4.387,106,1,0.39243,RESOLVED
2025-01-02,GC=F,bullish,126,0.5,3,IBIT|BITB|FBTC,1.0,0.5,2.0,119,1,0.21498,RESOLVED
2025-01-02,GC=F,bullish,126,0.6,3,IBIT|BITB|FBTC,1.0,0.4,2.5,119,1,0.21498,RESOLVED
