date,no_tilt,static_tilt_original,static_tilt_tau_aware
2025-01-02,100000.0,100000.0,100000.0
2025-01-03,100592.70075898869,100592.70075898869,100592.70075898869
2025-01-06,101850.14362035335,101850.14362035335,101850.14362035335
2025-01-07,100101.69268927333,100101.69268927333,100101.69268927333
2025-01-08,99677.44467352443,99677.44467352443,99677.44467352443
2025-01-10,99518.6831576712,99518.6831576712,99518.6831576712
2025-01-13,99223.8919705663,99223.8919705663,99223.8919705663
2025-01-14,99868.75129047455,99868.75129047455,99868.75129047455
2025-01-15,102047.77901512281,101983.07132241392,101983.07132241392
2025-01-16,102084.11221444696,102111.10293315303,102111.10293315303
2025-01-17,103877.09320520787,103904.5579824576,103904.5579824576
2025-01-21,104684.3414221512,104682.21662527593,104682.21662527593
2025-01-22,104234.07448079361,104231.9588230673,104231.9588230673
2025-01-23,104419.54806590803,104417.42864359106,104417.42864359106
2025-01-24,104673.84605670173,104671.72147285278,104671.72147285278
2025-01-27,103093.46362283548,103091.37111629256,103091.37111629256
2025-01-28,103444.40782894322,103442.30819922274,103442.30819922274
2025-01-29,104061.76138131387,104059.64922105748,104059.64922105748
2025-01-30,105056.40468237957,105130.63338885932,105130.63338885932
2025-01-31,104095.5349600061,104169.08475388835,104169.08475388835
2025-02-03,103851.85445012979,103925.2320689876,103925.2320689876
2025-02-04,103070.8023824065,103143.62814071991,103143.62814071991
2025-02-05,103025.23963844117,103098.03320391914,103098.03320391914
2025-02-06,102983.52234112266,103056.28643080592,103056.28643080592
2025-02-07,102785.07041535551,102857.69428674564,102857.69428674564
2025-02-10,103717.66174955171,103790.94455314707,103790.94455314707
2025-02-11,103118.31786520602,103191.17719608302,103191.17719608302
2025-02-12,103619.57408266913,103692.78758139291,103692.78758139291
2025-02-13,103698.55758641855,103810.59476745265,103810.59476745265
2025-02-14,103616.39777346315,103728.3461880375,103728.3461880375
2025-02-18,103462.83067113394,103574.61316994586,103574.61316994586
2025-02-19,103807.49435201746,103919.64922965615,103919.64922965615
2025-02-20,104337.90921387094,104465.62219658674,104465.62219658674
2025-02-21,103156.76922898862,103364.31876545305,103364.31876545305
2025-02-24,101600.4352714352,101804.85349238937,101804.85349238937
2025-02-25,100228.58389066848,100430.241971689,100430.241971689
2025-02-26,98903.87383758221,99102.86662615977,99102.86662615977
2025-02-27,98304.22204792006,98502.00834804402,98502.00834804402
2025-02-28,98378.6471921859,98576.58323434144,98576.58323434144
2025-03-03,98818.49819790864,99017.3192122578,99017.3192122578
2025-03-04,98872.28421291555,99071.21344374499,99071.21344374499
2025-03-05,100250.56373427488,100452.2660383395,100452.2660383395
2025-03-06,99468.95043046783,99730.41211145766,99730.41211145766
2025-03-07,98424.58146290568,98683.29794084822,98683.29794084822
2025-03-10,94753.89062206939,95002.95841071254,95002.95841071254
2025-03-11,96172.28112391263,96425.0772595757,96425.0772595757
2025-03-12,96837.0340155874,97106.45150390941,97106.45150390941
2025-03-13,95950.25074608339,96217.20104895734,96217.20104895734
2025-03-14,97641.53907703847,97913.19483850877,97913.19483850877
2025-03-17,97940.1098199489,98203.73965030095,98203.73965030095
2025-03-18,97413.46990704497,97675.68215688632,97675.68215688632
2025-03-19,99261.26515959614,99528.45120362508,99528.45120362508
2025-03-20,98312.01043739064,98657.10257483965,98657.10257483965
2025-03-21,98110.76096232166,98455.14667935262,98455.14667935262
2025-03-24,99796.67624257867,100146.97981344086,100146.97981344086
2025-03-25,99935.65477655308,100286.4461860744,100286.4461860744
2025-03-26,99362.99262313663,99711.77388958713,99711.77388958713
2025-03-27,99645.63980696294,99995.41321384854,99995.41321384854
2025-03-28,98310.49991092262,98655.58674616282,98655.58674616282
2025-03-31,98218.49090638514,98563.25477412727,98563.25477412727
2025-04-01,99263.40623011198,99611.83793112205,99611.83793112205
2025-04-02,98633.5063947515,99076.23160686377,99076.23160686377
2025-04-03,96875.90501836974,97341.24695752263,97341.24695752263
2025-04-04,94896.74956957821,95352.58466557696,95352.58466557696
2025-04-07,92714.67847164311,93180.1016530672,93180.1016530672
2025-04-08,91227.72361586524,91685.68235615641,91685.68235615641
2025-04-09,97150.17116895146,97637.86030821952,97637.86030821952
2025-04-10,95224.56377555472,96079.48854563081,96079.48854563081
2025-04-11,97539.02786165221,98414.73185715295,98414.73185715295
2025-04-14,98104.64568812824,98903.7880755062,98903.7880755062
2025-04-15,97888.36341317417,98685.74400494764,98685.74400494764
2025-04-16,98086.29406368418,98885.28696210709,98885.28696210709
2025-04-17,98270.2298825518,99070.72108830136,99070.72108830136
2025-04-21,98990.48722805941,99796.84551758037,99796.84551758037
2025-04-22,101845.03918007031,102674.65012440515,102674.65012440515
2025-04-23,101651.48023693913,102215.5378946845,102215.5378946845
2025-04-24,102817.98196059457,103430.34790750594,103430.34790750594
2025-04-25,102993.65670620065,103607.06894122127,103607.06894122127
2025-04-28,103438.97730139436,104138.99793478778,104138.99793478778
2025-04-29,103384.65779917469,104084.31082672608,104084.31082672608
2025-04-30,103265.52918028914,103964.376007959,103964.376007959
2025-05-01,103559.83216794475,104260.67068355666,104260.67068355666
2025-05-02,104272.78720377585,104977.97121732711,104977.97121732711
2025-05-05,103963.69616178928,104666.78983070332,104666.78983070332
2025-05-06,105089.42686236507,105800.13370931815,105800.13370931815
2025-05-07,105174.50310526081,105885.78531236328,105885.78531236328
2025-05-08,106818.18502054195,107540.58324593742,107540.58324593742
2025-05-09,106974.03759626135,107779.62373223492,107779.62373223492
2025-05-12,107220.6276314076,107733.44389925807,107733.44389925807
2025-05-13,107916.95969349651,108433.10638775051,108433.10638775051
2025-05-14,107275.81353356957,107690.61104105906,107690.61104105906
2025-05-15,107841.20424108815,108258.18791383253,108258.18791383253
2025-05-16,107702.10924868267,108118.55509044489,108118.55509044489
2025-05-19,108699.00201712405,109119.30248950582,109119.30248950582
2025-05-20,109305.0628337513,109727.70672826938,109727.70672826938
2025-05-21,109724.58930949653,110148.85536404054,110148.85536404054
2025-05-22,110261.03318371843,110687.37347638384,110687.37347638384
2025-05-23,109234.06520800976,109910.36434745831,109910.36434745831
2025-05-27,110081.55105809598,110763.0972232779,110763.0972232779
2025-05-28,109491.38878047539,110169.28108328636,110169.28108328636
2025-05-29,109142.59268259529,109818.32548964466,109818.32548964466
2025-05-30,108372.37600768657,109043.34018442416,109043.34018442416
2025-06-02,109682.52099643297,110361.59665310821,110361.59665310821
2025-06-03,109637.60562916723,110316.40320203983,110316.40320203983
2025-06-04,109630.88895342004,110309.64494144436,110309.64494144436
2025-06-05,108288.53991875229,108958.98504243903,108958.98504243903
2025-06-06,109305.35193016799,109982.09242597142,109982.09242597142
2025-06-09,111249.15505115368,111816.10123175899,111816.10123175899
2025-06-10,111381.1909980633,111926.6250892904,111926.6250892904
2025-06-11,110784.1529051582,111196.9553012474,111196.9553012474
2025-06-12,110538.53388704955,110614.58703199505,110614.58703199505
2025-06-13,110585.4171927249,110677.43656006314,110677.43656006314
2025-06-16,110818.60562170701,110976.4171436703,110976.4171436703
2025-06-17,109900.09841504357,110056.60193444353,110056.60193444353
2025-06-18,110038.56216089577,110195.26285995114,110195.26285995114
2025-06-20,109269.03833681736,109424.6431934807,109424.6431934807
2025-06-23,110372.87192195412,110530.04869568939,110530.04869568939
2025-06-24,110399.24254524623,110556.45687213581,110556.45687213581
2025-06-25,110887.13374395318,111032.79730029912,111032.79730029912
2025-06-26,111063.39798054809,111212.03999399042,111212.03999399042
2025-06-27,110777.00031352964,110925.25902584266,110925.25902584266
2025-06-30,111119.52714113245,111268.24427519592,111268.24427519592
2025-07-01,111015.27397483379,111163.85158137669,111163.85158137669
2025-07-02,112219.59206076288,112369.78146982913,112369.78146982913
2025-07-03,112621.09664017659,112701.26962204833,112701.26962204833
2025-07-07,111936.77733549284,112016.46316246336,112016.46316246336
2025-07-08,111916.07628679814,111995.74737705546,111995.74737705546
2025-07-09,112951.29212570697,113031.70016794898,113031.70016794898
2025-07-10,114545.55189736582,114523.58112637565,114523.58112637565
2025-07-11,115158.59652084447,115136.50816289605,115136.50816289605
2025-07-14,115895.13837522153,115806.92466466805,115806.92466466805
2025-07-15,114981.94764846734,114894.42901402817,114894.42901402817
