date,no_tilt,hth_original,hth_tau_aware
2025-01-02,100000.0,100000.0,100000.0
2025-01-03,100592.70075898869,100592.70075898869,100592.70075898869
2025-01-06,101850.14362035335,101541.63733608561,101747.08161848632
2025-01-07,100101.69268927333,100299.03126045481,100167.9554652452
2025-01-08,99677.44467352443,100021.11040806692,99792.52495449613
2025-01-10,99518.6831576712,100232.18406245708,99757.03023389491
2025-01-13,99223.8919705663,99731.10383839847,99393.64790694392
2025-01-14,99868.75129047455,100277.21687749692,100005.63665749026
2025-01-15,102047.77901512281,102285.76838317493,102117.41557518493
2025-01-16,102084.11221444696,102576.18066617819,102253.32523258434
2025-01-17,103877.09320520787,103993.29919021677,103898.80030651968
2025-01-21,104684.3414221512,104719.09415625437,104673.9142831206
2025-01-22,104234.07448079361,104458.74750544656,104298.27959653524
2025-01-23,104419.54806590803,104571.8698461938,104455.34993624207
2025-01-24,104673.84605670173,104884.36436197073,104732.41159452144
2025-01-27,103093.46362283548,103317.27076550994,103157.60046018279
2025-01-28,103444.40782894322,103823.20837305159,103569.21926627032
2025-01-29,104061.76138131387,104333.75180447113,104144.60227855778
2025-01-30,105056.40468237957,105542.38288240012,105222.87588760821
2025-01-31,104095.5349600061,104694.20724329154,104306.33201169345
2025-02-03,103851.85445012979,104662.16894808048,104145.48710637883
2025-02-04,103070.8023824065,105179.72624032645,103838.85738272856
2025-02-05,103025.23963844117,105737.5621425292,104011.68538482906
2025-02-06,102983.52234112266,105545.94631897967,103920.33843533558
2025-02-07,102785.07041535551,105467.60179930594,103759.30798913768
2025-02-10,103717.66174955171,106620.86375474428,104764.82106723328
2025-02-11,103118.31786520602,106540.97927646204,104353.71385675095
2025-02-12,103619.57408266913,106299.11032933443,104584.90805985763
2025-02-13,103698.55758641855,106981.36717242739,104883.75510432318
2025-02-14,103616.39777346315,106168.2998966132,104546.28112754364
2025-02-18,103462.83067113394,107154.02681404636,104796.97346189886
2025-02-19,103807.49435201746,107020.4516841324,104972.90905130205
2025-02-20,104337.90921387094,107203.33319195143,105370.38366177134
2025-02-21,103156.76922898862,106668.45757866894,104418.1665304117
2025-02-24,101600.4352714352,106730.34032173234,103442.69084250859
2025-02-25,100228.58389066848,105786.29182023554,102231.50166514734
2025-02-26,98903.87383758221,106091.6920829217,101486.17275858705
2025-02-27,98304.22204792006,104948.84536033274,100695.44122450428
2025-02-28,98378.6471921859,104706.97552843796,100675.55701258619
2025-03-03,98818.49819790864,105065.31675787344,101066.98436273342
2025-03-04,98872.28421291555,104870.29623582886,101021.43642486642
2025-03-05,100250.56373427488,105167.07133031268,102016.56721547042
2025-03-06,99468.95043046783,104563.88649286763,101290.76488388208
2025-03-07,98424.58146290568,104478.80905046148,100593.56533378728
2025-03-10,94753.89062206939,103384.32770851791,97830.28870557674
2025-03-11,96172.28112391263,103418.90989802843,98757.31451875689
2025-03-12,96837.0340155874,104078.74013259968,99417.2623250945
2025-03-13,95950.25074608339,104551.62599546259,98995.8613212275
2025-03-14,97641.53907703847,105396.79531194823,100398.04525633369
2025-03-17,97940.1098199489,105743.81514598324,100715.60046347417
2025-03-18,97413.46990704497,106019.18402399922,100459.05308161773
2025-03-19,99261.26515959614,106461.29690997915,101820.93869449505
2025-03-20,98312.01043739064,106472.00236663771,101208.74019201432
2025-03-21,98110.76096232166,106088.092073243,100947.9301614592
2025-03-24,99796.67624257867,106573.30787684163,102220.83167569472
2025-03-25,99935.65477655308,106839.78925532133,102403.65766131572
2025-03-26,99362.99262313663,106392.34554293772,101870.8936845339
2025-03-27,99645.63980696294,106974.61151241072,102249.72110131796
2025-03-28,98310.49991092262,106813.61549605332,101315.39363043472
2025-03-31,98218.49090638514,107766.11614053519,101585.34613179897
2025-04-01,99263.40623011198,107852.14837824139,102299.79108245693
2025-04-02,98633.5063947515,108401.40178590454,102080.35287455375
2025-04-03,96875.90501836974,105727.45957552583,99989.05927822144
2025-04-04,94896.74956957821,102391.20291518194,97530.51324949191
2025-04-07,92714.67847164311,101145.61165071116,95687.59361823414
2025-04-08,91227.72361586524,100797.45769185541,94586.54229039507
2025-04-09,97150.17116895146,105824.12012658188,100225.9432021807
2025-04-10,95224.56377555472,105738.52971267175,98900.42698453109
2025-04-11,97539.02786165221,107450.59542016842,101001.72422094776
2025-04-14,98104.64568812824,107484.89739338092,101390.50826697856
2025-04-15,97888.36341317417,107711.99605021995,101325.67213898053
2025-04-16,98086.29406368418,108762.8779675354,101789.15102108814
2025-04-17,98270.2298825518,108467.63849551576,101811.05866125975
2025-04-21,98990.48722805941,109103.52040626493,102471.56959807003
2025-04-22,101845.03918007031,110023.0869575506,104667.73756338193
2025-04-23,101651.48023693913,108625.93149063733,104083.52361166653
2025-04-24,102817.98196059457,110336.99595920536,105440.55398222344
2025-04-25,102993.65670620065,109805.3129526067,105380.20533777788
2025-04-28,103438.97730139436,110658.31569251703,105959.76349787663
2025-04-29,103384.65779917469,110729.74709812585,105956.3127475296
2025-04-30,103265.52918028914,110501.12987847149,105801.36518938045
2025-05-01,103559.83216794475,109132.60348791006,105530.03217501413
2025-05-02,104272.78720377585,109969.89460577242,106288.37374175561
2025-05-05,103963.69616178928,111127.82161958248,106483.65382194919
2025-05-06,105089.42686236507,112531.14088120678,107683.55808222188
2025-05-07,105174.50310526081,112276.19858467804,107657.46667265178
2025-05-08,106818.18502054195,111092.4174171575,108319.98247895217
2025-05-09,106974.03759626135,111705.21867028941,108631.60073861123
2025-05-12,107220.6276314076,110989.19083637086,108571.56041399951
2025-05-13,107916.95969349651,111470.11290172538,109187.33726191176
2025-05-14,107275.81353356957,110444.95567870955,108419.92669041046
2025-05-15,107841.20424108815,111351.73385301871,109103.26665996452
2025-05-16,107702.10924868267,110928.00529436102,108872.65044358236
2025-05-19,108699.00201712405,111727.21175310426,109787.51706851966
2025-05-20,109305.0628337513,112462.36908892382,110427.29726343439
2025-05-21,109724.58930949653,112224.03703865819,110592.9389849079
2025-05-22,110261.03318371843,112000.15762651902,110857.0713631815
2025-05-23,109234.06520800976,112946.01654611797,110532.51417991114
2025-05-27,110081.55105809598,112714.44291309398,111014.01842039199
2025-05-28,109491.38878047539,112420.06507664685,110530.17196048012
2025-05-29,109142.59268259529,112970.51882118876,110504.61032414561
2025-05-30,108372.37600768657,112431.61999965458,109823.28903692077
2025-06-02,109682.52099643297,113963.41836677263,111197.5174642206
2025-06-03,109637.60562916723,113881.29520877855,111146.75733126207
2025-06-04,109630.88895342004,114325.17629460902,111298.02737009284
2025-06-05,108288.53991875229,113737.89255089445,110229.50633073888
2025-06-06,109305.35193016799,113607.21588022183,110845.910152536
2025-06-09,111249.15505115368,113783.9833686099,112151.45803512509
2025-06-10,111381.1909980633,113834.3562228027,112223.55327014442
2025-06-11,110784.1529051582,113710.34177888109,111509.49196522299
2025-06-12,110538.53388704955,114903.6277405659,111015.40485018532
2025-06-13,110585.4171927249,115359.00134702273,111190.36047951765
2025-06-16,110818.60562170701,115057.19860441548,111410.53855151945
2025-06-17,109900.09841504357,114715.200142459,110316.48265626832
2025-06-18,110038.56216089577,114798.07753089293,110477.65551145007
2025-06-20,109269.03833681736,114303.06999820011,109572.57049454765
2025-06-23,110372.87192195412,114808.32881040311,110826.47103341586
2025-06-24,110399.24254524623,114125.70064916793,110788.75343337336
2025-06-25,110887.13374395318,114297.2094899497,111404.01607736878
2025-06-26,111063.39798054809,114680.8427907063,111491.81576488115
2025-06-27,110777.00031352964,113774.97662808903,111153.27082477635
2025-06-30,111119.52714113245,114320.69042437084,111475.69710813566
2025-07-01,111015.27397483379,115085.98524725252,111260.20485752907
2025-07-02,112219.59206076288,115413.04711345701,112738.87634600466
2025-07-03,112621.09664017659,115429.68137841456,113141.33767072539
2025-07-07,111936.77733549284,115148.47732696038,112393.04804215759
2025-07-08,111916.07628679814,114674.32244294706,112423.62872888536
2025-07-09,112951.29212570697,115039.24383669035,113622.04025452952
2025-07-10,114545.55189736582,115275.505565542,115618.22250533014
2025-07-11,115158.59652084447,115802.81421501824,116426.50208604944
2025-07-14,115895.13837522153,115812.05614396173,117352.35346819
2025-07-15,114981.94764846734,115286.47189112123,116267.97089398857
