credit,rate,target,tau_past,tau_future,q,n_joint,cpe,lift,n_episodes,episode_hit_rate,episode_years,reliable_n>=3
HYG,TLT,SPY,21,21,0.05,20,0.3684210526315789,0.7369330060903554,7,0.2857142857142857,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,SPY,21,21,0.1,100,0.6082474226804123,1.2166449187441655,12,0.3333333333333333,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,SPY,21,21,0.2,318,0.5434083601286174,1.0869507958457194,28,0.32142857142857145,"[[2007], [2008], [2008], [2008], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025], [2026]]",True
HYG,TLT,SPY,21,63,0.05,20,0.1,0.20002478929102627,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,SPY,21,63,0.1,100,0.46875,0.9376161998016856,9,0.3333333333333333,"[[2008], [2013], [2015], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,SPY,21,63,0.2,318,0.4752475247524752,0.9506128599969564,27,0.4074074074074074,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2024], [2024], [2024], [2025], [2026]]",True
HYG,TLT,SPY,21,126,0.05,20,0.35,0.7,7,0.14285714285714285,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,SPY,21,126,0.1,100,0.3958333333333333,0.7916666666666666,12,0.3333333333333333,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
HYG,TLT,SPY,21,126,0.2,318,0.5051194539249146,1.0102389078498293,29,0.5517241379310345,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025], [2025]]",True
HYG,TLT,SPY,21,252,0.05,20,0.3888888888888889,0.7777777777777778,6,0.3333333333333333,"[[2009], [2013], [2013], [2016], [2022], [2023]]",True
HYG,TLT,SPY,21,252,0.1,100,0.4574468085106383,0.9148936170212766,11,0.45454545454545453,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2025]]",True
HYG,TLT,SPY,21,252,0.2,318,0.5085910652920962,1.0171821305841924,28,0.5,"[[2007], [2008], [2008], [2008], [2009], [2009], [2010], [2010], [2012], [2013], [2014], [2015], [2015], [2016], [2017], [2018], [2018], [2020], [2021], [2021], [2022], [2022], [2022, 2023], [2023], [2024], [2024], [2024], [2025]]",True
HYG,TLT,SPY,63,21,0.05,37,0.2857142857142857,0.5714990659476226,2,0.0,"[[2009], [2022]]",False
HYG,TLT,SPY,63,21,0.1,110,0.45794392523364486,0.9160008393459558,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,SPY,63,21,0.2,256,0.4859437751004016,0.9720074475052938,10,0.3,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,SPY,63,63,0.05,37,0.3055555555555556,0.6111868561670247,2,0.0,"[[2009], [2022]]",False
HYG,TLT,SPY,63,63,0.1,110,0.5288461538461539,1.057823404904466,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,SPY,63,63,0.2,256,0.49794238683127573,0.9960082100499662,8,0.375,"[[2009], [2013], [2015], [2018], [2018], [2020], [2021], [2023]]",True
HYG,TLT,SPY,63,126,0.05,37,0.37142857142857144,0.7428571428571429,2,0.0,"[[2009], [2022]]",False
HYG,TLT,SPY,63,126,0.1,110,0.6261682242990654,1.2523364485981308,3,0.3333333333333333,"[[2009], [2013], [2022]]",True
HYG,TLT,SPY,63,126,0.2,256,0.562753036437247,1.125506072874494,10,0.4,"[[2009], [2013], [2015], [2016], [2018], [2018], [2020], [2021], [2021, 2022], [2023]]",True
HYG,TLT,SPY,63,252,0.05,37,0.35294117647058826,0.7058823529411765,2,0.0,"[[2009], [2022]]",False
HYG,TLT,SPY,63,252,0.1,110,0.5754716981132075,1.150943396226415,3,0.0,"[[2009], [2013], [2022]]",True
HYG,TLT,SPY,63,252,0.2,256,0.5061224489795918,1.0122448979591836,7,0.42857142857142855,"[[2013], [2015], [2016], [2018], [2018], [2021, 2022], [2023]]",True
HYG,TLT,SPY,126,21,0.05,43,0.4146341463414634,0.8293705957044766,1,0.0,[[2022]],False
HYG,TLT,SPY,126,21,0.1,100,0.5051546391752577,1.0104339155671884,1,0.0,[[2022]],False
HYG,TLT,SPY,126,21,0.2,222,0.5483870967741935,1.0969094975446303,5,0.6,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,126,63,0.05,43,0.5476190476190477,1.0953738461175249,1,0.0,[[2022]],False
HYG,TLT,SPY,126,63,0.1,100,0.6494845360824743,1.2991300747767687,1,0.0,[[2022]],False
HYG,TLT,SPY,126,63,0.2,222,0.627906976744186,1.2559696071762114,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,126,126,0.05,43,0.9523809523809523,1.9047619047619047,1,0.0,[[2022]],False
HYG,TLT,SPY,126,126,0.1,100,0.8571428571428571,1.7142857142857142,1,0.0,[[2022]],False
HYG,TLT,SPY,126,126,0.2,222,0.7731481481481481,1.5462962962962963,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,126,252,0.05,43,0.9512195121951219,1.9024390243902438,1,0.0,[[2022]],False
HYG,TLT,SPY,126,252,0.1,100,0.8617021276595744,1.7234042553191489,1,0.0,[[2022]],False
HYG,TLT,SPY,126,252,0.2,222,0.7417840375586855,1.483568075117371,5,0.2,"[[2013], [2015], [2018], [2022, 2023], [2025]]",True
HYG,TLT,SPY,252,21,0.05,44,0.37209302325581395,0.7442778533271364,1,0.0,[[2022]],False
HYG,TLT,SPY,252,21,0.1,150,0.5448275862068965,1.089789598169087,1,0.0,[[2022]],False
HYG,TLT,SPY,252,21,0.2,252,0.5860655737704918,1.1722757479786274,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,63,0.05,44,0.23255813953488372,0.46517392858378204,1,0.0,[[2022]],False
HYG,TLT,SPY,252,63,0.1,150,0.6689655172413793,1.338096866291693,1,0.0,[[2022]],False
HYG,TLT,SPY,252,63,0.2,252,0.6337448559670782,1.267646812790866,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,126,0.05,44,0.6590909090909091,1.3181818181818181,1,0.0,[[2022]],False
HYG,TLT,SPY,252,126,0.1,150,0.8333333333333334,1.6666666666666667,1,0.0,[[2022]],False
HYG,TLT,SPY,252,126,0.2,252,0.7768595041322314,1.5537190082644627,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,SPY,252,252,0.05,44,0.6904761904761905,1.380952380952381,1,0.0,[[2022]],False
HYG,TLT,SPY,252,252,0.1,150,0.704225352112676,1.408450704225352,1,0.0,[[2022]],False
HYG,TLT,SPY,252,252,0.2,252,0.6666666666666666,1.3333333333333333,2,0.5,"[[2015], [2022, 2023]]",False
HYG,TLT,QQQ,21,21,0.05,20,0.42105263157894735,0.8421052631578947,7,0.2857142857142857,"[[2009], [2013], [2013], [2016], [2022], [2022], [2023]]",True
HYG,TLT,QQQ,21,21,0.1,100,0.6082474226804123,1.2164948453608246,12,0.25,"[[2008], [2009], [2013], [2015], [2016], [2018], [2022], [2022], [2022, 2023], [2023], [2024], [2025]]",True
