roll_window,z_entry,n_trades,time_in_market_pct,CAGR_pct,Sharpe,max_dd_pct,p_value
126,1.0,205,75.5,17.35,0.552,-75.13,0.073
126,1.25,159,69.3,11.8,0.463,-74.01,0.133
126,1.5,139,63.5,12.18,0.468,-73.54,0.107
126,1.75,124,57.0,14.36,0.504,-72.51,0.09
126,2.0,106,52.4,10.83,0.441,-71.25,0.11
189,1.0,137,77.5,11.55,0.462,-78.96,0.167
189,1.25,115,71.6,11.01,0.451,-78.88,0.157
189,1.5,100,63.9,11.49,0.457,-78.29,0.137
189,1.75,88,55.9,13.79,0.494,-72.02,0.077
189,2.0,74,50.1,11.39,0.451,-71.57,0.093
252,1.0,111,72.9,15.35,0.522,-77.89,0.067
252,1.25,89,66.1,12.56,0.474,-71.34,0.1
252,1.5,75,60.2,13.36,0.487,-67.24,0.083
252,1.75,62,53.8,11.46,0.452,-67.24,0.093
252,2.0,54,49.0,11.66,0.455,-64.87,0.08
378,1.0,75,72.0,9.92,0.433,-81.66,0.157
378,1.25,61,66.8,8.1,0.399,-81.66,0.183
378,1.5,55,62.2,10.01,0.43,-80.34,0.123
378,1.75,47,58.4,9.76,0.424,-78.61,0.11
378,2.0,42,50.7,11.03,0.445,-76.96,0.067
504,1.0,52,67.8,10.11,0.438,-76.48,0.157
504,1.25,42,64.0,8.55,0.408,-76.19,0.17
504,1.5,36,54.8,8.09,0.396,-74.63,0.167
504,1.75,32,52.0,9.18,0.414,-74.63,0.1
504,2.0,32,48.9,13.53,0.491,-63.92,0.043
