,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-01-02,100000.0,100000.0,100000.0,100000.0
2025-01-03,100466.78225396207,101250.33666861651,100466.78225396207,100466.78225396207
2025-01-06,101582.82280660646,101833.6061103752,101582.82280660646,101582.82280660646
2025-01-07,99923.00696108893,100682.46687037832,99923.00696108893,99923.00696108893
2025-01-08,99535.12873561982,100829.56841704693,99535.12873561982,99535.12873561982
2025-01-10,99443.41376060157,99290.15480878229,99443.41376060157,99443.41376060157
2025-01-13,99132.83336859601,99444.10887908071,99132.83336859601,99132.83336859601
2025-01-14,99720.44186215255,99580.93693591787,99720.44186215255,99720.44186215255
2025-01-15,101841.51244068227,101392.31206159602,101841.51244068227,101841.51244068227
2025-01-16,101933.85557033733,101197.31698810509,101933.85557033733,101933.85557033733
2025-01-17,103591.97742435656,102213.33335875225,103591.97742435656,103591.97742435656
2025-01-21,104372.79849747411,103148.9517280486,104372.79849747411,104372.79849747411
2025-01-22,103894.18567163571,103728.78961237909,103894.18567163571,103894.18567163571
2025-01-23,103980.88889516334,104294.94363190317,103980.88889516334,103980.88889516334
2025-01-24,104272.56999131881,103990.47763996119,104272.56999131881,104272.56999131881
2025-01-27,102912.86755753415,102519.50453818173,102912.86755753415,102912.86755753415
2025-01-28,103224.32361647903,103400.37685702594,103224.32361647903,103224.32361647903
2025-01-29,103814.87331267053,102936.85182354972,103814.87331267053,103814.87331267053
2025-01-30,104794.95259927756,103489.32197826741,104794.95259927756,104794.95259927756
2025-01-31,103861.4916590355,102938.56760226384,103861.4916590355,103861.4916590355
2025-02-03,103744.6292887814,102245.82724205409,103744.6292887814,103744.6292887814
2025-02-04,103005.88369734013,102931.71507863399,103005.88369734013,103005.88369734013
2025-02-05,103079.10799496995,103349.06236400199,103079.10799496995,103079.10799496995
2025-02-06,103008.43245265588,103708.27440639611,103008.43245265588,103008.43245265588
2025-02-07,102827.4804997833,102758.97217229338,102827.4804997833,102827.4804997833
2025-02-10,103690.47937400673,103456.81750373892,103690.47937400673,103690.47937400673
2025-02-11,103068.9066719408,103535.51031760224,103068.9066719408,103068.9066719408
2025-02-12,103453.43512074965,103201.98199978666,103453.43512074965,103453.43512074965
2025-02-13,103608.03740664452,104291.52266570154,103608.03740664452,103608.03740664452
2025-02-14,103538.17445411168,104286.39651201246,103538.17445411168,103538.17445411168
2025-02-18,103327.55525361311,104592.55710021532,103327.55525361311,103327.55525361311
2025-02-19,103643.14591563233,104838.86666673017,103643.14591563233,103643.14591563233
2025-02-20,104198.02484658813,104402.71995409334,104198.02484658813,104198.02484658813
2025-02-21,103257.78303554504,102616.99677931383,103257.78303554504,103257.78303554504
2025-02-24,101838.21352280045,102150.04018840939,101838.21352280045,101838.21352280045
2025-02-25,100657.25372217511,101642.0320030858,100657.25372217511,100657.25372217511
2025-02-26,99452.79979440446,101693.34649610972,99452.79979440446,99452.79979440446
2025-02-27,98887.58523595853,100070.12451151933,98887.58523595853,98887.58523595853
2025-02-28,98948.68027791679,101631.76910448102,98948.68027791679,98948.68027791679
2025-03-03,99506.8517711434,99851.18267461723,99506.8517711434,99506.8517711434
2025-03-04,99527.77932657734,98669.27592125926,99527.77932657734,99527.77932657734
2025-03-05,100724.79950652292,99729.74367007392,100724.79950652292,100724.79950652292
2025-03-06,100040.28632640954,97959.44132126818,100040.28632640954,100040.28632640954
2025-03-07,98989.48294350355,98508.49050978427,98989.48294350355,98989.48294350355
2025-03-10,95690.09172118941,95884.6517980672,95690.09172118941,95690.09172118941
2025-03-11,97038.1124351032,95087.5666730955,97038.1124351032,97038.1124351032
2025-03-12,97625.48422065403,95592.16448344412,97625.48422065403,97625.48422065403
2025-03-13,96935.62038291057,94317.85986896318,96935.62038291057,96935.62038291057
2025-03-14,98426.58141166308,96266.08423393178,98426.58141166308,98426.58141166308
2025-03-17,98712.36164149242,97008.43389967796,98712.36164149242,98712.36164149242
2025-03-18,98289.06238809771,95959.92364572895,98289.06238809771,98289.06238809771
2025-03-19,100040.05899820453,97005.00234224975,100040.05899820453,100040.05899820453
2025-03-20,99160.08265198187,96724.48311371893,99160.08265198187,99160.08265198187
2025-03-21,98912.9809689471,96756.3944795561,98912.9809689471,98912.9809689471
2025-03-24,100361.99991124838,98489.15092995734,100361.99991124838,100361.99991124838
2025-03-25,100488.37675428398,98725.90721005165,100488.37675428398,100488.37675428398
2025-03-26,99953.1773398888,97547.28373694906,99953.1773398888,99953.1773398888
2025-03-27,100235.62767810017,97288.23292479792,100235.62767810017,100235.62767810017
2025-03-28,99175.24302590825,95329.01486658707,99175.24302590825,99175.24302590825
2025-03-31,99152.90287549363,95968.93677959136,99152.90287549363,99152.90287549363
2025-04-01,100196.613538609,96239.98745151468,100196.613538609,100196.613538609
2025-04-02,99573.0125753319,96849.04653011821,99573.0125753319,99573.0125753319
2025-04-03,98110.1329311698,92076.23734388134,98110.1329311698,98110.1329311698
2025-04-04,96510.21638935161,86685.82195915027,96510.21638935161,96510.21638935161
2025-04-07,94177.09030485872,86531.41776172006,94337.18087837106,94614.43119872817
2025-04-08,92696.22223679187,85176.10085474377,92854.2257980077,93127.86521394836
2025-04-09,98033.06285419078,94121.23374657122,98526.50001163682,99383.68220486536
2025-04-10,96242.17733532851,89996.93595813584,96726.60029456417,97054.26854399739
2025-04-11,98443.84788093677,91602.72478369271,98903.2868856953,99175.65726605727
