,no_tilt_capped,no_tilt_uncapped,spy_bh,static_capped,hth_capped
2025-01-02,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-03,100417.59118453765,100466.78225396208,101250.33666861651,100417.59118453765,100417.59118453765
2025-01-06,101009.65994299272,101582.82280660648,101833.6061103752,101009.65994299272,101009.65994299272
2025-01-07,99861.07661837176,99923.00696108895,100682.46687037832,99861.07661837176,99861.07661837176
2025-01-08,99753.70265909181,99535.12873561983,100829.56841704693,99753.70265909181,99753.70265909181
2025-01-10,99471.42984229395,99443.41376060157,99290.15480878229,99471.42984229395,99471.42984229395
2025-01-13,99275.62329943533,99132.83336859601,99444.10887908071,99275.62329943533,99275.62329943533
2025-01-14,99552.74369115214,99720.44186215255,99580.93693591787,99552.74369115214,99552.74369115214
2025-01-15,101304.59734926396,101841.51244068227,101392.31206159602,101304.59734926396,101304.59734926396
2025-01-16,101431.34036950543,101933.85557033733,101197.31698810509,101431.34036950543,101431.34036950543
2025-01-17,102565.48258987548,103591.97742435656,102213.33335875225,102565.48258987548,102565.48258987548
2025-01-21,103177.13752243073,104372.79849747411,103148.9517280486,103177.13752243073,103177.13752243073
2025-01-22,103044.11323477386,103894.18567163571,103728.78961237909,103044.11323477386,103044.11323477386
2025-01-23,103113.54120551514,103980.88889516334,104294.94363190317,103113.54120551514,103113.54120551514
2025-01-24,103229.0199297824,104272.56999131881,103990.47763996119,103229.0199297824,103229.0199297824
2025-01-27,102232.81974901141,102912.86755753415,102519.50453818173,102232.81974901141,102232.81974901141
2025-01-28,102688.54304066191,103224.32361647903,103400.37685702594,102688.54304066191,102688.54304066191
2025-01-29,102903.98938397855,103814.87331267053,102936.85182354972,102903.98938397855,102903.98938397855
2025-01-30,103710.70479404967,104794.95259927756,103489.32197826741,103710.70479404967,103710.70479404967
2025-01-31,103047.68060437517,103861.4916590355,102938.56760226384,103047.68060437517,103047.68060437517
2025-02-03,103017.9202061633,103744.6292887814,102245.82724205409,103017.9202061633,103017.9202061633
