strategy,tc_bps,gross_ret_pct,net_ret_pct,net_sharpe
hth_5sleeve,0,18.77,18.77,1.224
structure_b,0,24.58,24.58,1.613
hth_5sleeve,1,18.77,18.55,1.21
structure_b,1,24.58,24.22,1.589
hth_5sleeve,2,18.77,18.33,1.195
structure_b,2,24.58,23.86,1.566
hth_5sleeve,5,18.77,17.67,1.152
structure_b,5,24.58,22.78,1.495
hth_5sleeve,10,18.77,16.57,1.081
structure_b,10,24.58,20.98,1.377
hth_5sleeve,15,18.77,15.47,1.009
structure_b,15,24.58,19.18,1.259
hth_5sleeve,20,18.77,14.37,0.937
structure_b,20,24.58,17.38,1.141
hth_5sleeve,30,18.77,12.17,0.794
structure_b,30,24.58,13.78,0.904
hth_5sleeve,50,18.77,7.77,0.507
structure_b,50,24.58,6.58,0.432
