Y,tau_future,score_raw,score_norm,direction,n_bull_sets,n_bear_sets,n_bull_firing,n_bear_firing,bull_weight_total,bear_weight_total,bull_weight_fired,bear_weight_fired,top_bull_conditions,top_bear_conditions,latest_date
AAPL,126,0.0,0.0,NEUTRAL,3,0,0,0,21.9204,0.0,0.0,0.0,,,2026-06-16
AAPL,252,0.0,0.0,NEUTRAL,5,0,0,0,49.419,0.0,0.0,0.0,,,2026-06-16
AAPL,300,0.0,0.0,NEUTRAL,4,0,0,0,34.8322,0.0,0.0,0.0,,,2026-06-16
ADA-USD,63,0.0,0.0,NEUTRAL,1,0,0,0,7.6271,0.0,0.0,0.0,,,2026-06-16
ADA-USD,126,0.0,0.0,NEUTRAL,3,1,0,0,27.3229,8.8191,0.0,0.0,,,2026-06-16
ADA-USD,252,0.0,0.0,NEUTRAL,2,2,0,0,13.9426,18.574,0.0,0.0,,,2026-06-16
ADA-USD,300,0.0,0.0,NEUTRAL,0,2,0,0,0.0,17.1662,0.0,0.0,,,2026-06-16
ATOM-USD,126,0.0,0.0,NEUTRAL,1,0,0,0,9.3255,0.0,0.0,0.0,,,2026-06-16
ATOM-USD,252,0.0,0.0,NEUTRAL,11,1,0,0,120.3528,8.5391,0.0,0.0,,,2026-06-16
ATOM-USD,300,0.0,0.0,NEUTRAL,6,1,0,0,58.3715,9.6765,0.0,0.0,,,2026-06-16
AUDUSD=X,252,0.0,0.0,NEUTRAL,1,0,0,0,7.9367,0.0,0.0,0.0,,,2026-06-16
AVAX-USD,126,0.0,0.0,NEUTRAL,4,1,0,0,42.0973,8.1465,0.0,0.0,,,2026-06-16
AVAX-USD,252,0.0,0.0,NEUTRAL,17,0,0,0,208.1279,0.0,0.0,0.0,,,2026-06-16
AVAX-USD,300,-22.189,-0.1084,BEARISH,15,4,0,3,176.0973,28.6507,0.0,22.189,,"XRP-USD(t=126,q=0.75) & BCH-USD(t=126,q=0.75) CPE=0.849 lift=1.70 n=218 | XRP-USD(t=126,q=0.75) & BCH-USD(t=126,q=0.75) & DOGE-USD(t=252,q=0.8) CPE=0.836 lift=1.67 n=201 | XRP-USD(t=126,q=0.75) & BCH-USD(t=126,q=0.75) & DOGE-USD(t=252,q=0.8) & LTC-USD(t=300,q=0.8) CPE=0.821 lift=1.64 n=184",2026-06-16
BCH-USD,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,6.4662,0.0,0.0,,,2026-06-16
BCH-USD,300,0.0,0.0,NEUTRAL,0,2,0,0,0.0,15.4244,0.0,0.0,,,2026-06-16
BNB-USD,252,0.0,0.0,NEUTRAL,0,2,0,0,0.0,20.0622,0.0,0.0,,,2026-06-16
BNB-USD,300,0.0,0.0,NEUTRAL,0,5,0,0,0.0,58.1832,0.0,0.0,,,2026-06-16
BRLUSD=X,126,8.6277,1.0,BULLISH,1,0,1,0,8.6277,0.0,8.6277,0.0,"VWO(t=300,q=0.9) & EEM(t=300,q=0.9) CPE=0.876 lift=1.75 n=275",,2026-06-16
BRLUSD=X,252,0.0,0.0,NEUTRAL,1,0,0,0,8.3716,0.0,0.0,0.0,,,2026-06-16
BRLUSD=X,300,0.0,0.0,NEUTRAL,2,0,0,0,19.7398,0.0,0.0,0.0,,,2026-06-16
BTC-USD,126,-63.9082,-1.0,BEARISH,0,6,0,6,0.0,63.9082,0.0,63.9082,,"IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.893 lift=2.98 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) & BITB(t=252,q=0.5) CPE=0.893 lift=2.98 n=122 | IBIT(t=252,q=0.5) & FBTC(t=252,q=0.5) CPE=0.934 lift=2.34 n=122",2026-06-16
CANE,63,0.0,0.0,NEUTRAL,2,0,0,0,19.0184,0.0,0.0,0.0,,,2026-06-16
CANE,126,0.0,0.0,NEUTRAL,10,0,0,0,154.0535,0.0,0.0,0.0,,,2026-06-16
CANE,252,0.0,0.0,NEUTRAL,12,0,0,0,148.0196,0.0,0.0,0.0,,,2026-06-16
CANE,300,0.0,0.0,NEUTRAL,7,0,0,0,85.5892,0.0,0.0,0.0,,,2026-06-16
CORN,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.0833,0.0,0.0,,,2026-06-16
CORN,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,8.2715,0.0,0.0,,,2026-06-16
DBB,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.9625,0.0,0.0,,,2026-06-16
DBC,252,0.0,0.0,NEUTRAL,3,0,0,0,30.5938,0.0,0.0,0.0,,,2026-06-16
DBC,300,46.3984,1.0,BULLISH,4,0,4,0,46.3984,0.0,46.3984,0.0,"CPER(t=252,q=0.95) & DBB(t=252,q=0.9) CPE=1.000 lift=3.33 n=112 | CPER(t=252,q=0.95) & DBB(t=252,q=0.9) CPE=1.000 lift=2.50 n=112 | CPER(t=252,q=0.95) & DBB(t=252,q=0.9) CPE=1.000 lift=2.00 n=112",,2026-06-16
DIA,63,0.0,0.0,NEUTRAL,3,0,0,0,32.5723,0.0,0.0,0.0,,,2026-06-16
DIA,126,0.0,0.0,NEUTRAL,12,1,0,0,153.2814,8.8796,0.0,0.0,,,2026-06-16
DIA,252,0.0,0.0,NEUTRAL,15,5,0,0,243.6731,66.1466,0.0,0.0,,,2026-06-16
DIA,300,0.0,0.0,NEUTRAL,15,4,0,0,295.3332,47.9199,0.0,0.0,,,2026-06-16
DJP,252,9.7807,0.2632,BULLISH,3,0,1,0,37.161,0.0,9.7807,0.0,"CPER(t=252,q=0.95) & DBB(t=252,q=0.9) CPE=1.000 lift=2.00 n=133",,2026-06-16
DJP,300,0.0,0.0,NEUTRAL,4,0,0,0,55.1839,0.0,0.0,0.0,,,2026-06-16
DOT-USD,126,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.9551,0.0,0.0,,,2026-06-16
DOT-USD,300,0.0,0.0,NEUTRAL,0,1,0,0,0.0,6.0371,0.0,0.0,,,2026-06-16
EDV,252,0.0,0.0,NEUTRAL,0,1,0,0,0.0,7.7664,0.0,0.0,,,2026-06-16
EDV,300,0.0,0.0,NEUTRAL,1,2,0,0,6.9944,21.1218,0.0,0.0,,,2026-06-16
EEM,252,0.0,0.0,NEUTRAL,1,0,0,0,8.9351,0.0,0.0,0.0,,,2026-06-16
EEM,300,0.0,0.0,NEUTRAL,2,0,0,0,20.0927,0.0,0.0,0.0,,,2026-06-16
EFA,300,0.0,0.0,NEUTRAL,1,0,0,0,8.4406,0.0,0.0,0.0,,,2026-06-16
EMB,126,0.0,0.0,NEUTRAL,2,0,0,0,17.4356,0.0,0.0,0.0,,,2026-06-16
EMB,252,0.0,0.0,NEUTRAL,5,0,0,0,63.4284,0.0,0.0,0.0,,,2026-06-16
EMB,300,0.0,0.0,NEUTRAL,4,0,0,0,47.0358,0.0,0.0,0.0,,,2026-06-16
