,equal_weight,spy,struct_A,struct_B,struct_C
2026-01-02,100000.0,100000.0,100000.0,100000.0,100000.0
2026-01-05,100583.47265169887,100666.01138160631,100583.47265169887,100583.47265169887,100583.47265169887
2026-01-06,100794.16035046545,101264.69061073022,100794.16035046545,100794.16035046545,100794.16035046545
2026-01-07,100671.43225170209,100938.27838243732,100671.43225170209,100671.43225170209,100671.43225170209
2026-01-08,100769.55311096941,100928.02984831813,100769.55311096941,100769.55311096941,100769.55311096941
2026-01-09,101136.48630125052,101595.50146686625,101136.48630125052,101136.48630125052,101136.48630125052
2026-01-12,101556.19285267043,101755.05250940376,101556.19285267043,101556.19285267043,101556.19285267043
2026-01-13,101505.25664574253,101551.59581501468,101505.25664574253,101505.25664574253,101505.25664574253
2026-01-14,101244.41399533003,101052.44561916376,101244.41399533003,101244.41399533003,101244.41399533003
2026-01-15,101353.51143625428,101327.63309387838,101353.51143625428,101353.51143625428,101353.51143625428
2026-01-16,101218.31885990512,101242.73330555002,101218.31885990512,101218.31885990512,101218.31885990512
2026-01-20,101010.29192374318,99181.75667758292,101010.29192374318,101010.29192374318,101010.29192374318
2026-01-21,102593.51773503292,100326.42118680177,102593.51773503292,102593.51773503292,102593.51773503292
2026-01-22,103047.73231147414,100850.44916171653,103047.73231147414,103047.73231147414,103047.73231147414
2026-01-23,103314.68566511643,100887.03571184137,103314.68566511643,103314.68566511643,103314.68566511643
2026-01-26,104208.98142144915,101399.35491569509,104208.98142144915,104208.98142144915,104208.98142144915
2026-01-27,104549.6919180048,101803.35678909847,104549.6919180048,104549.6919180048,104549.6919180048
2026-01-28,104844.74441472354,101793.10825497926,104844.74441472354,104844.74441472354,104844.74441472354
2026-01-29,104451.78723591767,101591.111797532,104451.78723591767,104451.78723591767,104451.78723591767
2026-01-30,104215.6903589828,101288.10815285225,104215.6903589828,104215.6903589828,104215.6903589828
2026-02-02,103369.93870567236,101791.64801803743,103369.93870567236,103369.93870567236,103369.93870567236
2026-02-03,103652.34117359703,100930.95928071058,103652.34117359703,103652.34117359703,103652.34117359703
2026-02-04,103686.75297304639,100442.05761897887,103686.75297304639,103686.75297304639,103686.75297304639
2026-02-05,103157.34769567555,99187.61554236784,103157.34769567555,103157.34769567555,103157.34769567555
2026-02-06,104212.96469751337,101090.50136473925,104212.96469751337,104212.96469751337,104212.96469751337
2026-02-09,104387.46787608728,101577.94278952916,104387.46787608726,104387.46787608728,104387.46787608728
2026-02-10,104448.29194059358,101310.06545803245,104448.29194059357,104448.29194059358,104448.29194059358
2026-02-11,104670.19219604865,101286.65687441926,104670.19219604864,104670.19219604865,104670.19219604865
2026-02-12,103898.40346186968,99721.89205140178,103898.40346186966,103898.40346186968,103898.40346186968
2026-02-13,104053.76303629586,99792.14467776782,104053.76303629584,104053.76303629586,104053.76303629586
2026-02-17,103854.05094590268,99953.15595724715,103854.05094590267,103854.05094590268,103854.05094590268
2026-02-18,104289.71826589167,100456.69582243235,104289.71826589166,104289.71826589167,104289.71826589167
2026-02-19,104161.99943316248,100191.7479233281,104161.99943316246,104161.99943316248,104161.99943316248
2026-02-20,104653.71107964983,100916.32107725715,104653.71107964982,104653.71107964983,104653.71107964983
2026-02-23,104216.99601112267,99885.8327632736,104216.99601112265,104216.99601112267,104216.99601112267
2026-02-24,104560.24204165039,100611.84823712676,104560.24204165037,104560.24204165039,104560.24204165039
