,equal_weight,spy,struct_A,struct_B,struct_C
2025-01-02,100000.0,100000.0,100000.0,100000.0,100000.0
2025-01-03,100360.55077185301,101250.33666861651,100360.55077185301,100360.55077185301,100360.55077185301
2025-01-06,100965.92439806098,101833.6061103752,100965.92439806098,100965.92439806098,100965.92439806098
2025-01-07,100162.38546474653,100682.46687037832,100162.38546474653,100162.38546474653,100162.38546474653
2025-01-08,100289.93361523954,100829.56841704693,100289.93361523954,100289.93361523954,100289.93361523954
2025-01-10,99780.54249741179,99290.15480878229,99780.54249741179,99780.54249741179,99780.54249741179
2025-01-13,99829.9293288694,99444.10887908071,99829.9293288694,99829.9293288694,99829.9293288694
2025-01-14,100113.74843050881,99580.93693591787,100113.74843050881,100113.74843050881,100113.74843050881
2025-01-15,101602.90715053232,101392.31206159602,101602.90715053232,101602.90715053232,101602.90715053232
2025-01-16,101666.53616665123,101197.31698810509,101666.53616665123,101666.53616665123,101666.53616665123
2025-01-17,101981.97998643233,102213.33335875225,101981.97998643233,101981.97998643233,101981.97998643233
2025-01-21,102614.51057955697,103148.9517280486,102614.51057955697,102614.51057955697,102614.51057955697
2025-01-22,102656.39641821866,103728.78961237909,102656.39641821866,102656.39641821866,102656.39641821866
2025-01-23,102896.65344633824,104294.94363190317,102896.65344633824,102896.65344633824,102896.65344633824
2025-01-24,102912.20671632641,103990.47763996119,102912.20671632641,102912.20671632641,102912.20671632641
2025-01-27,102491.53944915692,102519.50453818173,102491.53944915692,102491.53944915692,102491.53944915692
2025-01-28,102336.56060750446,103400.37685702594,102336.56060750446,102336.56060750446,102336.56060750446
2025-01-29,102400.73695093034,102936.85182354972,102400.73695093034,102400.73695093034,102400.73695093034
2025-01-30,102792.14997695434,103489.32197826741,102792.14997695434,102792.14997695434,102792.14997695434
2025-01-31,102248.37407032805,102938.56760226384,102248.37407032805,102248.37407032805,102248.37407032805
2025-02-03,102316.12007225539,102245.82724205409,102316.12007225539,102316.12007225539,102316.12007225539
2025-02-04,102771.01511934664,102931.71507863399,102771.01511934664,102771.01511934664,102771.01511934664
2025-02-05,103196.44612522566,103349.06236400199,103196.44612522566,103196.44612522566,103196.44612522566
2025-02-06,103294.13680387392,103708.27440639611,103294.13680387392,103294.13680387392,103294.13680387392
2025-02-07,102617.71665417844,102758.97217229338,102617.71665417845,102617.71665417844,102617.71665417844
2025-02-10,103088.3606878304,103456.81750373892,103088.36068783038,103088.3606878304,103088.3606878304
2025-02-11,103128.13754153137,103535.51031760224,103128.13754153135,103128.13754153137,103128.13754153137
2025-02-12,102991.55400424263,103201.98199978666,102991.55400424261,102991.55400424263,102991.55400424263
2025-02-13,103787.3553032395,104291.52266570154,103787.35530323948,103787.3553032395,103787.3553032395
2025-02-14,104136.36515221502,104286.39651201246,104136.365152215,104136.36515221502,104136.36515221502
2025-02-18,104343.40254528953,104592.55710021532,104343.40254528951,104343.40254528953,104343.40254528953
2025-02-19,104663.0941876617,104838.86666673017,104663.09418766169,104663.0941876617,104663.0941876617
2025-02-20,104524.79163740318,104402.71995409334,104524.79163740316,104524.79163740318,104524.79163740318
2025-02-21,103885.56526728661,102616.99677931383,103885.5652672866,103885.56526728661,103885.56526728661
2025-02-24,103249.3177886139,102150.04018840939,103249.31778861389,103249.3177886139,103249.3177886139
2025-02-25,103422.14553107941,101642.0320030858,103422.1455310794,103422.14553107941,103422.14553107941
2025-02-26,103327.6660226431,101693.34649610972,103327.66602264308,103327.6660226431,103327.6660226431
2025-02-27,102461.85139889957,100070.12451151933,102461.85139889955,102461.85139889957,102461.85139889957
2025-02-28,102919.7419257432,101631.76910448102,102919.74192574319,102919.7419257432,102919.7419257432
2025-03-03,102077.21511633559,99851.18267461723,102077.21511633557,102077.21511633559,102077.21511633559
2025-03-04,101604.48218888963,98669.27592125926,101604.48218888961,101604.48218888963,101604.48218888963
2025-03-05,102482.64915645854,99729.74367007392,102482.64915645853,102482.64915645854,102482.64915645854
2025-03-06,101710.85962820073,97959.44132126818,101710.85962820072,101710.85962820073,101710.85962820073
2025-03-07,102004.14800524745,98508.49050978427,102004.14800524744,102004.14800524745,102004.14800524745
2025-03-10,100751.17112850149,95884.6517980672,100751.17112850148,100751.17112850149,100751.17112850149
2025-03-11,100254.03965824093,95087.5666730955,100254.03965824092,100254.03965824093,100254.03965824093
2025-03-12,100144.60322859853,95592.16448344412,100144.60322859851,100144.60322859853,100144.60322859853
2025-03-13,99529.21866645355,94317.85986896318,99529.21866645354,99529.21866645355,99529.21866645355
2025-03-14,100598.13244263861,96266.08423393178,100598.1324426386,100598.13244263861,100598.13244263861
2025-03-17,101276.50883128791,97008.43389967796,101276.5088312879,101276.50883128791,101276.50883128791
2025-03-18,100848.43716414955,95959.92364572895,100848.43716414954,100848.43716414955,100848.43716414955
