floor,gap_multiplier,anchor,agreement_formula,total_return_pct,sharpe,n_nonneutral_days
2,1.0,first,linear,17.11,1.038,11
2,1.0,first,binomial,17.29,1.047,15
2,1.0,mid,linear,17.17,1.039,19
2,1.0,mid,binomial,17.17,1.039,19
2,1.0,last,linear,17.29,1.047,15
2,1.0,last,binomial,17.29,1.047,15
2,1.5,first,linear,17.11,1.038,11
2,1.5,first,binomial,17.29,1.047,15
2,1.5,mid,linear,17.17,1.039,19
2,1.5,mid,binomial,17.17,1.039,19
2,1.5,last,linear,17.29,1.047,15
2,1.5,last,binomial,17.29,1.047,15
2,2.0,first,linear,17.11,1.038,11
2,2.0,first,binomial,17.29,1.047,15
2,2.0,mid,linear,17.17,1.039,19
2,2.0,mid,binomial,17.17,1.039,19
2,2.0,last,linear,17.29,1.047,15
2,2.0,last,binomial,17.29,1.047,15
3,1.0,first,linear,17.11,1.038,11
3,1.0,first,binomial,17.29,1.047,15
3,1.0,mid,linear,17.29,1.047,15
3,1.0,mid,binomial,17.29,1.047,15
3,1.0,last,linear,17.29,1.047,15
3,1.0,last,binomial,17.29,1.047,15
3,1.5,first,linear,17.11,1.038,11
3,1.5,first,binomial,17.29,1.047,15
3,1.5,mid,linear,17.29,1.047,15
3,1.5,mid,binomial,17.29,1.047,15
3,1.5,last,linear,17.29,1.047,15
3,1.5,last,binomial,17.29,1.047,15
3,2.0,first,linear,17.11,1.038,11
3,2.0,first,binomial,17.29,1.047,15
3,2.0,mid,linear,17.29,1.047,15
3,2.0,mid,binomial,17.29,1.047,15
3,2.0,last,linear,17.29,1.047,15
3,2.0,last,binomial,17.29,1.047,15
4,1.0,first,linear,17.11,1.038,11
4,1.0,first,binomial,17.29,1.047,15
4,1.0,mid,linear,17.29,1.047,15
4,1.0,mid,binomial,17.29,1.047,15
4,1.0,last,linear,17.29,1.047,15
4,1.0,last,binomial,17.29,1.047,15
4,1.5,first,linear,17.11,1.038,11
4,1.5,first,binomial,17.29,1.047,15
4,1.5,mid,linear,17.29,1.047,15
4,1.5,mid,binomial,17.29,1.047,15
4,1.5,last,linear,17.29,1.047,15
4,1.5,last,binomial,17.29,1.047,15
4,2.0,first,linear,17.11,1.038,11
4,2.0,first,binomial,17.29,1.047,15
4,2.0,mid,linear,17.29,1.047,15
4,2.0,mid,binomial,17.29,1.047,15
4,2.0,last,linear,17.29,1.047,15
4,2.0,last,binomial,17.29,1.047,15
