sleeve,entry_date,duration_days,tilt,tau_future,Y,predictors,joint_CPE,episode_conviction
Equities,2015-01-02,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-01-05,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-01-07,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-01-12,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-01-13,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-01-28,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-03-03,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-03-06,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-03-10,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-04-07,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-05-06,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-05-26,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-06-08,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-06-15,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-06-29,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-07-06,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-07-27,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-08-24,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-08-24,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-08-31,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-09-21,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-09-28,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
Equities,2015-09-29,91,19.58983278728112,63,SPY,"['VIXM', 'VIXY']",0.8455,1.0986
Equities,2015-10-21,365,100.0,252,SPY,"['VIXY', 'UVXY']",0.9769,3.1745
