year,hth_ret_pct,hth_sharpe,bench_ret_pct,bench_sharpe,spy_ret_pct,holds_yr
2015,2.49,0.327,-0.01,0.039,1.29,125
2016,11.11,1.529,10.33,1.483,13.59,53
2017,25.56,4.175,25.57,3.985,20.78,29
2018,-6.15,-0.659,-5.5,-0.784,-5.25,78
2019,25.75,3.649,23.44,3.388,31.09,44
2020,26.04,1.482,27.1,1.838,17.24,55
2021,15.4,1.631,9.43,1.123,30.51,82
2022,-23.89,-1.611,-19.69,-1.53,-18.65,113
2023,16.79,1.439,16.1,1.517,26.71,102
2024,11.6,1.203,14.45,1.579,25.59,67
2025,10.4,0.914,18.95,1.815,18.01,37
