year,train_cutoff,eval_days,joint_configs,vv_spy_configs,vv_spy_active,bench_ret_pct,bench_sharpe,spy_ret_pct,spy_sharpe,hth_ret_pct,hth_sharpe,hth_ann_vol,hth_holds,hth_by_sleeve,pct_exceeding,rand_null_mean,rand_null_std,neutral_weights,elapsed_min,pct_exc_numeric,is_significant
2010,2009-12-31,252,120,0,0,14.08,1.921,13.14,0.782,13.71,1.826,7.21,4,"{'Equities': 0, 'Gold': 0, 'Bonds': 4, 'Crypto': 0, 'FX': 0}",35.3,1.806679,0.0284193588773568,"{'Equities': np.float64(31.6), 'Gold': 20.0, 'Bonds': np.float64(39.9), 'Crypto': np.float64(4.3), 'FX': np.float64(4.3)}",2.6,35.3,False
2011,2010-12-31,252,206,0,0,17.1,2.149,0.85,0.152,7.67,0.64,12.9,3,"{'Equities': 0, 'Gold': 0, 'Bonds': 2, 'Crypto': 0, 'FX': 1}",5.4,0.4007039999999999,0.1308995583796981,"{'Equities': np.float64(32.3), 'Gold': 20.0, 'Bonds': np.float64(39.4), 'Crypto': np.float64(4.2), 'FX': np.float64(4.2)}",3.2,5.4,True
2012,2011-12-31,250,247,0,0,7.21,1.169,14.17,1.122,6.82,0.843,8.34,7,"{'Equities': 2, 'Gold': 3, 'Bonds': 2, 'Crypto': 0, 'FX': 0}",23.2,0.777061,0.10655128004393,"{'Equities': np.float64(27.2), 'Gold': 20.0, 'Bonds': np.float64(45.4), 'Crypto': np.float64(3.7), 'FX': np.float64(3.7)}",2.8,23.2,False
2013,2012-12-31,252,225,0,0,-4.08,-0.485,29.0,2.418,-5.71,-0.877,6.49,16,"{'Equities': 0, 'Gold': 4, 'Bonds': 2, 'Crypto': 0, 'FX': 10}",97.5,-0.716229,0.0826471932917264,"{'Equities': np.float64(29.6), 'Gold': 20.0, 'Bonds': np.float64(43.0), 'Crypto': np.float64(3.7), 'FX': np.float64(3.7)}",2.9,97.5,False
2014,2013-12-31,252,288,1,0,13.24,2.634,14.56,1.273,17.88,3.184,5.23,10,"{'Equities': 1, 'Gold': 7, 'Bonds': 2, 'Crypto': 0, 'FX': 0}",95.3,3.306823,0.087342278828755,"{'Equities': np.float64(36.6), 'Gold': 20.0, 'Bonds': np.float64(35.3), 'Crypto': np.float64(4.0), 'FX': np.float64(4.0)}",2.9,95.3,False
2015,2014-12-31,252,251,1,1,-0.01,0.039,1.29,0.16,2.49,0.327,8.71,8,"{'Equities': 2, 'Gold': 6, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",98.9,0.414394,0.0543875607469208,"{'Equities': np.float64(33.5), 'Gold': 20.0, 'Bonds': np.float64(39.3), 'Crypto': np.float64(3.6), 'FX': np.float64(3.6)}",3.3,98.9,False
2016,2015-12-31,252,234,0,0,10.73,1.555,13.59,1.048,11.72,1.625,7.0,7,"{'Equities': 0, 'Gold': 5, 'Bonds': 2, 'Crypto': 0, 'FX': 0}",24.2,1.504271,0.1368062555550732,"{'Equities': np.float64(34.6), 'Gold': 20.0, 'Bonds': np.float64(37.7), 'Crypto': np.float64(3.8), 'FX': np.float64(3.9)}",4.7,24.2,False
2017,2016-12-31,251,231,0,0,73.57,3.934,20.78,2.866,60.85,3.623,13.49,5,"{'Equities': 3, 'Gold': 0, 'Bonds': 2, 'Crypto': 0, 'FX': 0}",83.8,3.732934,0.1177748684737113,"{'Equities': np.float64(29.8), 'Gold': 20.0, 'Bonds': np.float64(30.0), 'Crypto': 15.0, 'FX': np.float64(5.2)}",2.5,83.8,False
2018,2017-12-31,251,243,0,0,-16.96,-1.38,-5.25,-0.233,-19.38,-1.277,16.01,2,"{'Equities': 1, 'Gold': 1, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",<3 holds (2),,,"{'Equities': np.float64(27.6), 'Gold': np.float64(27.7), 'Bonds': np.float64(27.0), 'Crypto': 15.0, 'FX': np.float64(2.8)}",1.2,,False
2019,2018-12-31,252,174,0,0,32.7,2.495,31.09,2.232,32.7,2.495,11.66,1,"{'Equities': 0, 'Gold': 0, 'Bonds': 1, 'Crypto': 0, 'FX': 0}",<3 holds (1),,,"{'Equities': np.float64(31.2), 'Gold': 20.0, 'Bonds': np.float64(30.4), 'Crypto': 15.0, 'FX': np.float64(3.3)}",1.2,,False
