,no_tilt,spy_bh,static_tilt,hold_to_horizon
2025-01-02,100000.0,100000.0,100000.0,100000.0
2025-01-03,100592.70075898869,101250.33666861651,100510.0733752474,100364.5667562375
2025-01-06,101850.14362035335,101833.6061103752,101654.83789333436,101311.35124180038
2025-01-07,100101.69268927333,100682.46687037832,99909.73975556532,100071.56327022423
2025-01-08,99677.44467352443,100829.56841704693,99539.3992428452,99794.27271403105
2025-01-10,99518.6831576712,99290.15480878229,99514.35961894771,100004.86767486503
2025-01-13,99223.8919705663,99444.10887908071,99146.16092714007,99504.9238497335
2025-01-14,99868.75129047455,99580.93693591787,99753.77321705238,100049.7983600657
2025-01-15,102047.77901512281,101392.31206159602,101865.65904969788,102053.79467544398
2025-01-16,102084.11221444696,101197.31698810509,101993.5432586947,102343.54833295979
2025-01-17,103877.09320520787,102213.33335875225,103646.46145170688,103757.45297647998
2025-01-21,104684.3414221512,103148.9517280486,104422.18840835363,104481.60191343665
2025-01-22,104234.07448079361,103728.78961237909,104041.69483146642,104221.8457023238
2025-01-23,104419.54806590803,104294.94363190317,104200.58175389747,104334.7114931206
2025-01-24,104673.84605670173,103990.47763996119,104475.21584687682,104646.49730315463
2025-01-27,103093.46362283548,102519.50453818173,102903.7733462457,103082.95771540569
2025-01-28,103444.40782894322,103400.37685702594,103309.70905426343,103587.74790796913
2025-01-29,104061.76138131387,102936.85182354972,103886.94998592632,104097.13347887086
2025-01-30,105056.40468237957,103489.32197826741,104956.15672945273,105303.02350458059
2025-01-31,104095.5349600061,102938.56760226384,104038.39455894087,104456.77144145839
2025-02-03,103851.85445012979,102245.82724205409,103871.52630860689,104424.80580583865
2025-02-04,103070.8023824065,102931.71507863399,103200.86537710667,104941.18933084463
2025-02-05,103025.23963844117,103349.06236400199,103207.65356661499,105497.76011802128
2025-02-06,102983.52234112266,103708.27440639611,103127.4261765093,105306.57885964881
2025-02-07,102785.07041535551,102758.97217229338,102966.82402296898,105228.41201736848
2025-02-10,103717.66174955171,103456.81750373892,103958.56425076153,106379.05849211956
2025-02-11,103118.31786520602,103535.51031760224,103496.95032563413,106299.35518370004
2025-02-12,103619.57408266913,103201.98199978666,103805.17650580879,106058.0347707169
2025-02-13,103698.55758641855,104291.52266570154,104039.61072135357,106738.7443247586
2025-02-14,103616.39777346315,104286.39651201246,103760.60989582706,105927.52100273767
2025-02-18,103462.83067113394,104592.55710021532,103912.65888943695,106911.01239189098
2025-02-19,103807.49435201746,104838.86666673017,104185.25937568612,106777.74019677074
2025-02-20,104337.90921387094,104402.71995409334,104604.67709239924,106960.20694795143
2025-02-21,103156.76922898862,102616.99677931383,103501.90770882442,106426.54437809765
2025-02-24,101600.4352714352,102150.04018840939,101940.366620995,106488.28677740082
2025-02-25,100228.58389066848,101642.0320030858,100704.29541899117,105546.3792817803
2025-02-26,98903.87383758221,101693.34649610972,99690.70046661216,105851.08692776722
2025-02-27,98304.22204792006,100070.12451151933,99086.27816617076,104710.83206517792
2025-02-28,98378.6471921859,101631.76910448102,99201.51053520099,104469.51076943417
2025-03-03,98818.49819790864,99851.18267461723,99510.55198339083,104827.03931744838
2025-03-04,98872.28421291555,98669.27592125926,99564.7146770153,104632.46108209038
2025-03-05,100250.56373427488,99729.74367007392,100735.71179022148,104928.5631208782
2025-03-06,99468.95043046783,97959.44132126818,99950.31598224967,104326.74624522687
2025-03-07,98424.58146290568,98508.49050978427,98900.89294261619,104241.86174979732
2025-03-10,94753.89062206939,95884.6517980672,95212.43832610545,103149.86258009478
2025-03-11,96172.28112391263,95087.5666730955,96305.10975240615,103184.36634072072
2025-03-12,96837.0340155874,95592.16448344412,96941.73546631192,103842.70014750533
2025-03-13,95950.25074608339,94317.85986896318,96244.18731755982,104314.51355338155
2025-03-14,97641.53907703847,96266.08423393178,97940.65678654751,105157.7661119144
2025-03-17,97940.1098199489,97008.43389967796,98240.14217907931,105503.99894030015
2025-03-18,97413.46990704497,95959.92364572895,97711.88894334195,105778.74330973945
2025-03-19,99261.26515959614,97005.00234224975,99301.70093767025,106219.85352871088
2025-03-20,98312.01043739064,96724.48311371893,98352.05952027987,106230.53470648378
2025-03-21,98110.76096232166,96756.3944795561,98150.72806278705,105847.4950825439
2025-03-24,99796.67624257867,98489.15092995734,99837.3301295364,106331.61046610572
2025-03-25,99935.65477655308,98725.90721005165,99991.15511892547,106597.48749195275
2025-03-26,99362.99262313663,97547.28373694906,99425.0913838503,106151.05853634913
2025-03-27,99645.63980696294,97288.23292479792,99705.0279319012,106732.00398589096
2025-03-28,98310.49991092262,95329.01486658707,98533.773888118,106571.37309210568
2025-03-31,98218.49090638514,95968.93677959136,98616.80171460516,107521.71356211157
2025-04-01,99263.40623011198,96239.98745151468,99484.98671740337,107607.55068746264
2025-04-02,98633.5063947515,96849.04653011821,99071.35117339672,108155.55844432341
2025-04-03,96875.90501836974,92076.23734388134,97087.98185118001,105487.68046261116
2025-04-04,94896.74956957821,86685.82195915027,94856.74052605637,102158.99009266793
2025-04-07,92714.67847164311,86531.41776172006,93184.41217821442,101093.0855859225
2025-04-08,91227.72361586524,85176.10085474377,91843.6546445831,100539.13748046297
2025-04-09,97150.17116895146,94121.23374657122,98200.80153283381,106477.36787019717
2025-04-10,95224.56377555472,89996.93595813584,96190.57893768066,105627.71429112337
2025-04-11,97539.02786165221,91602.72478369271,98274.88450267154,107367.06465770681
2025-04-14,98104.64568812824,92491.4134277901,98840.92982208794,107569.29047916472
2025-04-15,97888.36341317417,92232.34143318569,98615.33497185132,107708.43962133069
2025-04-16,98086.29406368418,90182.20828558011,98502.81194297844,108184.92303801076
2025-04-17,98270.2298825518,90310.88109791194,98681.76724812294,107965.95011231948
2025-04-21,98990.48722805941,88161.23278488782,98800.46718015522,108064.90007626178
2025-04-22,101845.03918007031,90455.00650989743,101613.21510933134,109292.62542682346
2025-04-23,101651.48023693913,91856.62825970151,101650.65838699069,108418.49071598578
2025-04-24,102817.98196059457,93790.13081965395,102889.23705941896,110222.0407271665
2025-04-25,102993.65670620065,94467.78927314209,103107.07839633427,109912.24085748389
2025-04-28,103438.97730139436,94503.81003491183,103522.77858097512,110630.70646828448
2025-04-29,103384.65779917469,95099.12170134918,103520.74757011233,110806.40420951962
2025-04-30,103265.52918028914,95136.86883305968,103401.4621369876,110623.10410484941
2025-05-01,103559.83216794475,95811.09572911961,103696.15252860652,109612.19450605017
2025-05-02,104272.78720377585,97233.32800594631,104410.04605850027,110584.23198797264
2025-05-05,103963.69616178928,96675.75287999281,104100.54814638424,111448.76811803161
2025-05-06,105089.42686236507,95867.70583545872,105227.76069578016,112466.18825090303
2025-05-07,105174.50310526081,96270.88205959536,105339.41945792217,112332.7315719964
2025-05-08,106818.18502054195,96941.67739822704,106985.67870913929,111476.3166700425
2025-05-09,106974.03759626135,96818.15192203755,107141.77566574552,111965.0307890051
2025-05-12,107220.6276314076,100017.75089583242,107388.75236047179,111983.90406166913
2025-05-13,107916.95969349651,100678.26215340607,108086.17628932052,112511.53484929289
2025-05-14,107275.81353356957,100806.93496573789,107444.02479556175,111673.29034082759
2025-05-15,107841.20424108815,101299.29990932849,108010.30205039513,112528.2277937218
2025-05-16,107702.10924868267,101940.9270098203,107870.9889534287,112290.2479832681
2025-05-19,108699.00201712405,102052.44203501099,108869.44487562419,112984.8650460282
2025-05-20,109305.0628337513,101709.32865709494,109476.45601135369,113541.01535518508
2025-05-21,109724.58930949653,99995.45636377558,109896.64031550962,113021.5291644787
2025-05-22,110261.03318371843,100034.8980917469,110433.92534765984,112841.0828371831
2025-05-23,109234.06520800976,99352.09230211642,109405.34705949089,113506.74716140721
2025-05-27,110081.55105809598,101417.68864060225,110254.16178940255,113706.27522438952
2025-05-28,109491.38878047539,100830.94527650882,109663.07412200184,113349.14108659727
2025-05-29,109142.59268259529,101228.95298204986,109313.73110278067,113886.20731305437
2025-05-30,108372.37600768657,101115.7433605983,108542.30670812016,113412.28158441765
2025-06-02,109682.52099643297,101685.31834632397,109854.50603823848,114806.3349217834
2025-06-03,109637.60562916723,102265.18800433431,109809.52024251023,114846.55119677946
2025-06-04,109630.88895342004,102237.72495368186,109802.79303484102,115214.41928399782
2025-06-05,108288.53991875229,101743.63364015054,108458.33916202086,114628.41074984588
2025-06-06,109305.35193016799,102788.43696477893,109476.74556108104,114714.92309196926
2025-06-09,111249.15505115368,102881.07842411438,111423.59661584858,114880.89301861156
2025-06-10,111381.1909980633,103464.37963955295,111555.83959855245,115031.86598341804
2025-06-11,110784.1529051582,103169.30806563207,110957.86533441026,114872.74482268261
2025-06-12,110538.53388704955,103579.32622217188,110711.86117930153,115953.35994816039
2025-06-13,110585.4171927249,102421.3026848653,110758.81799921792,116120.14174716728
2025-06-16,110818.60562170701,103395.75908221508,110992.3720737135,116051.19352854587
2025-06-17,109900.09841504357,102512.23895671329,110072.4246238928,115598.41822116966
2025-06-18,110038.56216089577,102496.79694828627,110211.10548449494,115665.10638119612
2025-06-20,109269.03833681736,102256.06895820558,109440.37502707283,115204.22185311269
2025-06-23,110372.87192195412,103266.10128580662,110545.93945194194,115818.28146777372
2025-06-24,110399.24254524623,104406.9034886123,110572.35142505632,115457.77965861965
2025-06-25,110887.13374395318,104465.40942451824,111061.00764983526,115613.14866048576
2025-06-26,111063.39798054809,105282.72379235386,111237.54827333141,116087.30913171457
2025-06-27,110777.00031352964,105805.8032931724,110950.70152733222,115419.37607635373
2025-06-30,111119.52714113245,106311.6932331699,111293.76544589747,115972.68607436636
2025-07-01,111015.27397483379,106277.282337848,111189.34880792619,116613.34391379988
2025-07-02,112219.59206076288,106759.06664603489,112395.55529589485,116977.63084069213
2025-07-03,112621.09664017659,107600.47605445451,112797.68944491773,117145.39087568635
2025-07-07,111936.77733549284,106798.63546872578,112112.2971097898,116762.04201185728
2025-07-08,111916.07628679814,106740.14012404649,112091.56360131306,116350.74151146668
2025-07-09,112951.29212570697,107380.22090545023,113128.4026855459,116775.59266938304
2025-07-10,114545.55189736582,107683.06643971779,114725.16229793585,117030.3448979003
2025-07-11,115158.59652084447,107304.51481749667,115339.16819130728,117407.83457036075
2025-07-14,115895.13837522153,107509.26441071414,116076.86496244288,117452.99337906491
2025-07-15,114981.94764846734,107049.85936439713,115174.32084443189,116925.15311209169
2025-07-16,115539.29166268575,107407.74750346247,115732.59733589094,117412.52816827327
2025-07-17,115864.66670270974,108065.04961936714,116058.51675212021,117580.17156850755
2025-07-18,115562.52455123262,107985.9013827587,115811.48989406449,117733.02419602935
2025-07-21,115846.35815401384,108190.66156720281,116095.93498167176,118554.52974493339
2025-07-22,116892.55081984978,108206.14594053634,117015.84352912048,119104.88233970146
2025-07-23,116415.49608716938,109126.71417679102,116601.94596038498,118823.20654236735
2025-07-24,116141.25265328708,109162.84085082708,116336.41658074564,118506.17128029038
2025-07-25,115827.14340301754,109623.9828583115,116056.98946375528,118211.13119399836
2025-07-28,115790.05997337619,109596.45626029928,115991.843115726,117899.29653714254
2025-07-29,115938.77814953726,109307.36872942453,116153.97413696065,118094.19315790692
2025-07-30,115718.13944741807,109169.72514813681,115921.49536414999,117677.67157355517
2025-07-31,114977.28230617031,108760.21537047524,115292.13875609062,117469.75790587552
2025-08-01,114070.2736131557,106977.57424264518,114514.71658522927,117425.77753994742
2025-08-04,115367.91910688372,108603.61349351925,115776.76033406804,118621.21845605005
2025-08-05,114985.62516265736,108052.99680346188,115441.15406865347,118489.05973706394
2025-08-06,115412.42457443413,108880.64820848868,115828.93477376374,118767.33556835966
2025-08-07,116278.8056572811,108789.44715597497,116557.87022105046,119018.8869410266
2025-08-08,116637.59642574632,109637.7408617043,116917.52207325934,120012.75202795358
2025-08-11,116525.62582201835,109420.93845258151,116617.54680481926,118649.1762137753
2025-08-12,117211.89891304943,110585.84628719783,117179.41119596155,119057.60443759307
2025-08-13,118366.13345007582,110964.38731819231,118113.38539289816,119401.24029439387
2025-08-14,116730.29783590259,110974.70317293025,116796.7784640273,119043.53237287639
2025-08-15,116289.66774334089,110714.88979246173,116434.02157751212,118865.44696525787
2025-08-18,115917.57048677024,110690.79475187775,116127.90296039626,118799.72364881214
2025-08-19,114603.48025095236,110090.28279316488,114994.12369620336,118289.44195994284
2025-08-20,115206.42725918427,109797.76370486189,115523.80133538155,118622.40119530054
2025-08-21,114477.91953988225,109357.27458930665,114892.89364164215,118342.97089157034
2025-08-22,116626.84350798574,111036.66184871766,116841.22662927676,119649.78087351973
2025-08-25,114513.9872671651,110547.97206076779,115127.19059371302,119480.7845659074
2025-08-26,115277.10366221733,111010.84043819294,115808.53720795736,119897.88513951995
2025-08-27,115308.10621994965,111263.78011257839,115894.68632934363,120261.724282103
2025-08-28,116064.70644641084,111657.8055169064,116601.40815529443,120860.54872123664
2025-08-29,114864.41664708902,110991.91391620456,115663.14496404165,121146.30620810254
2025-09-02,116134.40082400398,110169.43102977332,116794.34632201244,121937.75014352558
2025-09-03,116880.44252242339,110766.50083983132,117562.13759754768,122917.45075040426
2025-09-04,116709.9605478149,111692.21641222836,117390.66130156277,123010.94627076668
2025-09-05,116984.43327108608,111368.73916848493,117697.4360186469,123591.23718469555
2025-09-08,117756.45514563548,111642.32114357289,118410.32198533318,124127.34065460577
2025-09-09,117726.02576418483,111900.42933655393,118426.75645900819,124344.13955111838
2025-09-10,118644.33241440415,112223.91717152398,119206.96628191798,124542.50621656643
2025-09-11,119380.8233395557,113156.52763245734,119946.94978635397,124892.51711492633
2025-09-12,119645.98870228136,113118.66399725393,120182.8989175834,125055.00701475187
2025-09-15,119874.05142519766,113720.89173468089,120491.01762398011,125811.1682388812
