year,train_cutoff,eval_days,spy_train_obs,vixm_train_obs,vixy_train_obs,validated_configs_found,bench_ret_pct,bench_sharpe,spy_ret_pct,spy_sharpe,hth_ret_pct,hth_sharpe,hth_ann_vol_pct,hth_holds_total,hth_holds_by_sleeve,pct_exceeding,rand_null_mean,rand_null_std,rand_note
2015,2014-12-31,252,5522,1005,1005,13,-0.01,0.039,1.29,0.16,0.82,0.141,8.13,11,"{'Equities': 11, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",6.9,0.059279,0.0514205713601084,
2016,2015-12-31,252,5774,1257,1257,13,10.73,1.555,13.59,1.048,10.73,1.555,6.73,10,"{'Equities': 10, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",100.0,1.555,0.0,
2017,2016-12-31,251,6026,1509,1509,13,73.57,3.934,20.78,2.866,73.57,3.934,14.41,0,"{'Equities': 0, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",n/a,,,Skipped: only 0 hold event(s)
2018,2017-12-31,251,6277,1760,1760,13,-16.96,-1.38,-5.25,-0.233,-16.27,-1.379,12.42,14,"{'Equities': 14, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",93.3,-1.331143,0.037048138293307005,
2019,2018-12-31,252,6528,2011,2011,13,32.7,2.495,31.09,2.232,33.77,2.589,11.55,21,"{'Equities': 19, 'Gold': 0, 'Bonds': 1, 'Crypto': 0, 'FX': 1}",69.6,2.649134,0.11288115008273082,
2020,2019-12-31,253,6780,2263,2263,13,49.47,2.244,17.24,0.644,77.94,2.294,26.71,24,"{'Equities': 20, 'Gold': 0, 'Bonds': 3, 'Crypto': 0, 'FX': 1}",3.4,1.731841,0.15253905637245826,
2021,2020-12-31,252,7033,2516,2516,13,16.88,1.184,30.51,2.133,16.88,1.184,14.06,0,"{'Equities': 0, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",n/a,,,Skipped: only 0 hold event(s)
2022,2021-12-31,251,7285,2768,2768,13,-24.58,-1.529,-18.65,-0.735,-23.83,-1.194,21.1,4,"{'Equities': 2, 'Gold': 0, 'Bonds': 2, 'Crypto': 0, 'FX': 0}",97.2,-1.01944,0.05919012079730874,
2023,2022-12-31,250,7536,3019,3019,13,30.5,2.534,26.71,1.896,30.5,2.534,10.87,1,"{'Equities': 1, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",n/a,,,Skipped: only 1 hold event(s)
2024,2023-12-31,252,7786,3269,3269,13,29.36,2.246,25.59,1.882,29.03,2.274,11.55,5,"{'Equities': 5, 'Gold': 0, 'Bonds': 0, 'Crypto': 0, 'FX': 0}",28.6,2.254097,0.0265331413707461,
