signal,lift,cpe,uncond,n,p_val,sig,ticker,h,q
EU_Urban_Energy_dry_heat         →UNG h= 21d q=65%,2.0170324846356453,0.7058823529411765,0.3499608252807522,34,0.0001,***,UNG,21,0.65
EU_Urban_Energy_dry_heat         →UNG h= 21d q=60%,1.9112655506066656,0.7647058823529411,0.40010446591799426,34,0.0,***,UNG,21,0.6
U_Urban_Energy_combined_heat_vpd →NG=F h=126d q=70%,1.9995082974800245,0.6,0.300073773515308,35,0.0,***,NG=F,126,0.7
U_Urban_Energy_VPD_stress_2p0kPa →NG=F h=126d q=70%,1.9439664003278019,0.5833333333333334,0.300073773515308,36,0.0004,***,NG=F,126,0.7
U_Urban_Energy_combined_heat_vpd →NG=F h=126d q=65%,1.7956345024838176,0.6285714285714286,0.350055330136481,35,0.0007,***,NG=F,126,0.65
EU_Urban_Energy_dry_heat         →NG=F h= 21d q=60%,1.648784124461709,0.6595744680851063,0.400036886757654,47,0.0003,***,NG=F,21,0.6
India_Sugar_VPD_seasonal_q90     →SOYB h=126d q=65%,1.6670128071997232,0.5833333333333334,0.34992732558139533,108,0.0,***,SOYB,126,0.65
U_Urban_Energy_VPD_stress_2p0kPa →GC=F h=126d q=60%,1.6669747381392483,0.6666666666666666,0.3999260765108113,36,0.0014,**,GC=F,126,0.6
t_Plains_Wheat_combined_heat_vpd →WEAT h= 63d q=60%,1.644438070653473,0.6578947368421053,0.40007267441860467,38,0.0014,**,WEAT,63,0.6
U_Urban_Energy_combined_heat_vpd →GC=F h=126d q=60%,1.6431608133086877,0.6571428571428571,0.3999260765108113,35,0.0019,**,GC=F,126,0.6
